Election for,Aberdeenshire 2022 - Ward 17 - North Kincardine,,,,,,,,,,,,,,,,,
Date,31 Aug 2024,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,
Valid votes,5477,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,
Quota,1096,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Surplus of,,Exclusion of,,
Candidates,Preferences,David AITCHISON (SNP),,Elizabeth Wilson LESLIE (ScFam),,Alastair BEWS (Ind),,Louise Claire ROSS (Grn),,Jeff HUTCHISON (C),,Shirley BURNETT (C),,Mel SULLIVAN (LD),,Colin PIKE (Ind),,
David AITCHISON (SNP),1182,-86,1096,,1096,,1096,,1096,,1096,,1096,,1096,,1096,Elected
Shirley BURNETT (C),855,1.38225,856.38225,7.07275,863.455,34.36375,897.81875,8.07275,905.8915,551.21825,1457.10975,-361.10975,1096,,1096,,1096,Elected
Mel SULLIVAN (LD),850,2.328,852.328,12,864.328,31.291,895.619,97.164,992.783,23,1015.783,110.06812,1125.85112,-29.85112,1096,,1096,Elected
Catherine Mary VICTOR (SNP),799,66.12975,865.12975,5.1455,870.27525,32.81875,903.094,149.201,1052.295,1.1455,1053.4405,5.38442,1058.82492,5.34338,1064.1683,150.06919,1214.23749,Elected
Jeff HUTCHISON (C),620,0.50925,620.50925,5,625.50925,7.291,632.80025,4,636.80025,-636.80025,-,,-,,-,,-,
Colin PIKE (Ind),527,1.164,528.164,6,534.164,115.291,649.455,34.1455,683.6005,34.21825,717.81875,86.2774,804.09615,10.77652,814.87267,-814.87267,-,
Louise Claire ROSS (Grn),314,5.0925,319.0925,16.1455,335.238,12.4365,347.6745,-347.6745,-,,-,,-,,-,,-,
Alastair BEWS (Ind),255,4.00125,259.00125,10.07275,269.074,-269.074,-,,-,,-,,-,,-,,-,
Elizabeth Wilson LESLIE (ScFam),75,0.65475,75.65475,-75.65475,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,4.73825,4.73825,14.21825,18.9565,35.582,54.5385,55.09125,109.62975,27.21825,136.848,159.37981,296.22781,13.73122,309.95903,664.80348,974.76251,
Totals,5477,,5477,,5477,,5477,,5477,,5477,,5477,,5477,,5477,
 ,,,,,,,,,,,,,,,,,,
