Election for,Aberdeenshire 2022 - Ward 19 - Mearns,,,,,,,,,,,,,,,,,,,
Date,31 Aug 2024,,,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,,,
Valid votes,5782,,,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,,,
Quota,1157,,,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,Stage,10,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Kevin STELFOX (SNP),,George CARR (C),,Diane Elizabeth LAURENSON (ScFam),,David Allen NEILL (Ind),,Leigh WILSON (Alba),,Yvonne ALLAN (Lab),,Douglas FRASER (Grn),,Dave STEWART (Ind),,Shona EWEN (LD),,
Kevin STELFOX (SNP),1677,-520,1157,,1157,,1157,,1157,,1157,,1157,,1157,,1157,,1157,Elected
George CARR (C),1217,,1217,-60,1157,,1157,,1157,,1157,,1157,,1157,,1157,,1157,Elected
Alison Elizabeth McBean EVISON (Ind),623,39.68896,662.68896,4.7821,667.47106,6.31007,673.78113,24.83993,698.62106,31.18091,729.80197,61.85245,791.65442,101.90875,893.56317,217.91874,1111.48191,237.47119,1348.9531,Elected
Laurie CARNIE (C),619,5.89133,624.89133,43.2854,668.17673,13.0493,681.22603,7.40867,688.6347,6.35937,694.99407,28.72706,723.72113,17.28958,741.01071,83.50781,824.51852,99.88355,924.40207,Elected
Dave STEWART (Ind),513,33.17749,546.17749,3.451,549.62849,8.35937,557.98786,14.62846,572.61632,19.32049,591.93681,29.74965,621.68646,49.9063,671.59276,-671.59276,-,,-,
Shona EWEN (LD),377,35.65805,412.65805,2.1199,414.77795,3,417.77795,4.1972,421.97515,8.17049,430.14564,131.13608,561.28172,118.27434,679.55606,109.42951,788.98557,-788.98557,-,
Yvonne ALLAN (Lab),336,56.12267,392.12267,1.0353,393.15797,2.62014,395.77811,3.02881,398.80692,13.51147,412.31839,-412.31839,-,,-,,-,,-,
Douglas FRASER (Grn),194,181.39095,375.39095,0.5916,375.98255,4.40867,380.39122,17.55035,397.94157,48.69693,446.6385,59.84238,506.48088,-506.48088,-,,-,,-,
Leigh WILSON (Alba),99,71.62617,170.62617,0.2958,170.92197,8.31007,179.23204,6.66944,185.90148,-185.90148,-,,-,,-,,-,,-,
David Allen NEILL (Ind),75,10.54238,85.54238,0.6902,86.23258,1,87.23258,-87.23258,-,,-,,-,,-,,-,,-,
Diane Elizabeth LAURENSON (ScFam),52,4.03091,56.03091,0.1972,56.22811,-56.22811,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,81.87109,81.87109,3.5515,85.42259,9.17049,94.59308,8.90972,103.5028,58.66182,162.16462,101.01077,263.17539,219.10191,482.2773,260.7367,743.014,451.63083,1194.64483,
Totals,5782,,5782,,5782,,5782,,5782,,5782,,5782,,5782,,5782,,5782,
 ,,,,,,,,,,,,,,,,,,,,
