Election for,Angus 2022 - Ward 1 - Kirriemuir and Dean,,,,,,,,,,,
Date,03 Jul 2025,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,4515,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1129,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Julie BELL (SNP),,Sandra O'SHEA (LD),,Rachel Cordelia GRIEVE (Lab),,Ian WHYTE (Grn),,Euan WALKER-MUNRO (C),,
Julie BELL (SNP),1321,-192,1129,,1129,,1129,,1129,,1129,Elected
Ronnie PROCTOR (C),962,3.05214,965.05214,42,1007.05214,65.43602,1072.48816,53.29068,1125.77884,730.58136,1856.3602,Elected
Euan WALKER-MUNRO (C),772,2.03476,774.03476,27.14534,801.1801,32.29068,833.47078,31,864.47078,-864.47078,-,
George MEECHAN (SNP),574,153.76972,727.76972,12.16272,739.93244,52.05214,791.98458,198.91788,990.90246,15.7267,1006.62916,Elected
Ian WHYTE (Grn),353,15.84206,368.84206,48.16272,417.00478,106.4534,523.45818,-523.45818,-,,-,
Rachel Cordelia GRIEVE (Lab),303,7.12166,310.12166,74.29068,384.41234,-384.41234,-,,-,,-,
Sandra O'SHEA (LD),230,3.34282,233.34282,-233.34282,-,,-,,-,,-,
Non-transferable, ,6.83684,6.83684,29.58136,36.4182,128.1801,164.5983,240.24962,404.84792,118.16272,523.01064,
Totals,4515,,4515,,4515,,4515,,4515,,4515,
 ,,,,,,,,,,,,
,,,1126.38772,,1116.52726666667,,1073.80056666667,,927.68662,,,
,,,161.33558,,109.475126666667,,1.31240666666668,,-198.09222,,,
