Election for,Angus 2022 - Ward 2 - Brechin and Edzell,,,,,
Date,03 Jul 2025,,,,,
Number to be elected,3,,,,,
Valid votes,3933,,,,,
Invalid votes,0,,,,,
Quota,984,,,,,
OpenSTV,1.7,,,,,
Election rules,Scottish STV,,,,,
 ,,Stage,2,Stage,3,
 ,First,Surplus of,,Surplus of,,
Candidates,Preferences,Chris BEATTIE (SNP),,Gavin NICOL (C),,
Chris BEATTIE (SNP),1341,-357,984,,984,Elected
Gavin NICOL (C),1271,,1271,-287,984,Elected
Jill BROWN SCOTT (Ind),804,109.94473,913.94473,106.126,1020.07073,Elected
Dawn BARROWMAN (Lab),283,72.67533,355.67533,33.87,389.54533,
Alison ANDREWS (LD),234,59.36483,293.36483,70.2238,363.58863,
Non-transferable, ,115.01511,115.01511,76.7802,191.79531,
Totals,3933,,3933,,3933,
 ,,,,,,
,,,924.992445,,886.602345,
,,,11.047715,,-133.468385,
