Election for,Angus 2022 - Ward 3 - Forfar and District,,,,,,,,,,,,,,,
Date,03 Jul 2025,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,
Valid votes,5421,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1085,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Linda CLARK (SNP),,Ross GREIG (C),,Samuel David STRUTH (LD),,Marley HUNTER (Grn),,Lynne DEVINE (SNP),,Ed MCADAM (Lab),,Colin BROWN (Ind),,
Linda CLARK (SNP),1270,-185,1085,,1085,,1085,,1085,,1085,,1085,,1085,Elected
Ross GREIG (C),1158,,1158,-73,1085,,1085,,1085,,1085,,1085,,1085,Elected
Ian MCLAREN (Ind),869,3.20452,872.20452,20.86293,893.06745,31.45817,924.52562,34.08688,958.6125,2.58415,961.19665,121.01167,1082.20832,626.36259,1708.57091,Elected
Lynne DEVINE (SNP),810,163.43052,973.43052,1.13454,974.56506,9.20869,983.77375,113.99587,1097.76962,-12.76962,1085,,1085,,1085,Elected
Colin BROWN (Ind),698,3.6415,701.6415,13.8666,715.5081,11.94545,727.45355,26.25212,753.70567,2.31106,756.01673,77.31126,833.32799,-833.32799,-,
Ed MCADAM (Lab),298,1.89358,299.89358,9.58056,309.47414,24.08424,333.55838,32.87819,366.43657,1.74867,368.18524,-368.18524,-,,-,
Marley HUNTER (Grn),228,7.13734,235.13734,1.8909,237.02824,11.50424,248.53248,-248.53248,-,,-,,-,,-,
Samuel David STRUTH (LD),90,0.87396,90.87396,8.44602,99.31998,-99.31998,-,,-,,-,,-,,-,
Non-transferable, ,4.81858,4.81858,17.21845,22.03703,11.11919,33.15622,41.31942,74.47564,6.12574,80.60138,169.86231,250.46369,206.9654,457.42909,
Totals,5421,,5421,,5421,,5421,,5421,,5421,,5421,,5421,
 ,,,,,,,,,,,,,,,,
,,,,,1076.32099,,1072.61459333333,,1045.76218,,1042.69931,,957.768155,,,
,,,,,101.75593,,88.8408433333335,,-52.0074399999999,,81.50266,,-124.440165,,,
