Election for,Angus 2022 - Ward 8 - Montrose and District,,,,,,,,,,,,,,,,,
Date,03 Jul 2025,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,
Valid votes,5049,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,
Quota,1010,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Iain GALL (C),,Kenny BRAES (SNP),,James BOAG (Ind),,Angela Jocelyn NOBLE (LD),,Jamie ADAMS (Grn),,Bill DUFF (SNP),,John RUDDY (Lab),,Mark SALMOND (Ind),,
Iain GALL (C),1124,-114,1010,,1010,,1010,,1010,,1010,,1010,,1010,,1010,Elected
Kenny BRAES (SNP),1090,,1090,-80,1010,,1010,,1010,,1010,,1010,,1010,,1010,Elected
Bill DUFF (SNP),894,2.12982,896.12982,69.64711,965.77693,6.34962,972.12655,4.32159,976.44814,82.56922,1059.01736,-49.01736,1010,,1010,,1010,Elected
Tommy STEWART (Ind),732,16.83572,748.83572,1.39441,750.23013,12.91278,763.14291,20.89895,784.04186,24.14678,808.18864,6.62018,814.80882,88.03574,902.84456,474.09181,1376.93637,Elected
Mark SALMOND (Ind),499,33.4686,532.4686,1.54119,534.00979,19.7695,553.77929,32.94118,586.72047,25.12225,611.84272,7.94783,619.79055,109.48538,729.27593,-729.27593,-,
John RUDDY (Lab),330,11.05478,341.05478,0.66051,341.71529,2.5071,344.22239,47.75291,391.9753,34.03153,426.00683,7.33874,433.34557,-433.34557,-,,-,
Jamie ADAMS (Grn),180,2.63692,182.63692,2.56865,185.20557,7.17481,192.38038,16.5106,208.89098,-208.89098,-,,-,,-,,-,
Angela Jocelyn NOBLE (LD),139,15.01016,154.01016,1.02746,155.03762,8.40568,163.4433,-163.4433,-,,-,,-,,-,,-,
James BOAG (Ind),61,4.66532,65.66532,0.51373,66.17905,-66.17905,-,,-,,-,,-,,-,,-,
Non-transferable, ,28.19868,28.19868,2.64694,30.84562,9.05956,39.90518,41.01807,80.92325,43.0212,123.94445,27.11061,151.05506,235.82445,386.87951,255.18412,642.06363,
Totals,5049,,5049,,5049,,5049,,5049,,5049,,5049,,5049,,5049,
 ,,,,,,,,,,,,,,,,,,
,,,,,999.384793333333,,996.36494,,982.69225,,947.527775,,933.97247,,816.060245,,,
,,,,,33.6078633333333,,24.2383900000001,,6.24411000000009,,139.339135,,119.16365,,-86.7843149999999,,,
