Election for,Argyll and Bute 2022 - Ward 1 - South Kintyre,,,
Date,11 Jul 2025,,,
Number to be elected,3,,,
Valid votes,2358,,,
Invalid votes,0,,,
Quota,590,,,
OpenSTV,1.7,,,
Election rules,Scottish STV,,,
 ,,Stage,2,
 ,First,Surplus of,,
Candidates,Preferences,Donald KELLY (Ind),,
Donald KELLY (Ind),848,-258,590,Elected
John ARMOUR (SNP),773,,773,Elected
Tommy MACPHERSON (C),531,84.27448,615.27448,Elected
Rory COLVILLE (LD),206,104.65856,310.65856,
Non-transferable, ,69.06696,69.06696,
Totals,2358,,2358,
 ,,,,
