Election for,Argyll and Bute 2022 - Ward 2 - Kintyre and the Islands,,,,,,,,,,,
Date,11 Jul 2025,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,2889,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,723,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Dougie MCFADZEAN (SNP),,Jane B KELLY (Lab),,John MCALPINE (Ind),,Alec MCNEILLY (C),,Alastair John REDMAN (Ind),,
Dougie MCFADZEAN (SNP),863,-140,723,,723,,723,,723,,723,Elected
John MCALPINE (Ind),680,25.30632,705.30632,34.21772,739.52404,-16.52404,723,,723,,723,Elected
Robin CURRIE (LD),474,41.69054,515.69054,64.40876,580.0993,3.7312,583.8305,86.80082,670.63132,316.94262,987.57394,Elected
Alastair John REDMAN (Ind),474,18.97974,492.97974,9.48666,502.4664,3.02304,505.48944,117.81008,623.29952,-623.29952,-,
Alec MCNEILLY (C),276,1.29776,277.29776,7,284.29776,2.04018,286.33794,-286.33794,-,,-,
Jane B KELLY (Lab),122,18.6553,140.6553,-140.6553,-,,-,,-,,-,
Non-transferable, ,34.07034,34.07034,25.54216,59.6125,7.72962,67.34212,81.72704,149.06916,306.3569,455.42606,
Totals,2889,,2889,,2889,,2889,,2889,,2889,
 ,,,,,,,,,,,,
,,,710.64322,,691.69375,,687.82894,,646.96542,,,
,,,5.3368999999999,,111.59445,,103.99844,,-23.6659,,,
