Election for,Argyll and Bute 2022 - Ward 4 - Oban South and the Isles,,,,,,,,,,,,,,,,,,,
Date,11 Jul 2025,,,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,,,
Valid votes,3633,,,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,,,
Quota,727,,,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,Stage,10,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Jim LYNCH (SNP),,John WATSON (Ind),,Gopi AGEER (Lab),,Jamie MCGRIGOR (Ind),,Donnie CAMPBELL (Ind),,Henry Drummond BOSWELL (LD),,Colin KENNEDY (Ind),,Willie HUME (SNP),,Phyl Stuart MEYER (Grn),,
Jim LYNCH (SNP),773,-46,727,,727,,727,,727,,727,,727,,727,,727,,727,Elected
Willie HUME (SNP),615,29.988,644.988,3.595,648.583,9.2975,657.8805,9.119,666.9995,38.2975,705.297,19.357,724.654,52.4165,777.0705,-50.0705,727,,727,Elected
Amanda HAMPSEY (C),452,0.2975,452.2975,8,460.2975,19,479.2975,43.119,522.4165,16,538.4165,63.119,601.5355,44.0595,645.595,0.72022,646.31522,21.38218,667.6974,Elected
Phyl Stuart MEYER (Grn),353,4.76,357.76,11.1785,368.9385,23.0595,391.998,9.357,401.355,35.1785,436.5335,55.238,491.7715,28.1785,519.95,19.76408,539.71408,-539.71408,-,
Andrew KAIN (Ind),295,0.2975,295.2975,9.1785,304.476,10,314.476,40,354.476,39.119,393.595,46,439.595,90.119,529.714,10.31399,540.02799,158.14742,698.17541,Elected
Colin KENNEDY (Ind),256,1.0115,257.0115,12.119,269.1305,7,276.1305,33.1785,309.309,69.0595,378.3685,27,405.3685,-405.3685,-,,-,,-,
Donnie CAMPBELL (Ind),235,0.6545,235.6545,12.1785,247.833,10,257.833,22.1785,280.0115,-280.0115,-,,-,,-,,-,,-,
Henry Drummond BOSWELL (LD),188,0.7735,188.7735,9.0595,197.833,57.238,255.071,27.119,282.19,20.0595,302.2495,-302.2495,-,,-,,-,,-,
Jamie MCGRIGOR (Ind),179,1.4875,180.4875,34.2975,214.785,12.0595,226.8445,-226.8445,-,,-,,-,,-,,-,,-,
Gopi AGEER (Lab),169,0.714,169.714,7.0595,176.7735,-176.7735,-,,-,,-,,-,,-,,-,,-,
John WATSON (Ind),118,2.023,120.023,-120.023,-,,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,3.993,3.993,13.357,17.35,29.119,46.469,42.7735,89.2425,62.2975,151.54,91.5355,243.0755,190.595,433.6705,19.27221,452.94271,360.18448,813.12719,
Totals,3633,,3633,,3633,,3633,,3633,,3633,,3633,,3633,,3633,,3633,
 ,,,,,,,,,,,,,,,,,,,,
,,,725.50175,,722.1625,,714.88275,,704.189375,,683.054333333333,,646.090166666667,,549.86725,,539.871035,,,
,,,80.51375,,73.5795000000001,,57.00225,,37.189875,,-22.2426666666667,,-78.5638333333333,,20.1532499999998,,-0.156954999999925,,,
