Election for,Argyll and Bute 2022 - Ward 10 - Helensburgh Central,,,,,,,,,,,,,
Date,11 Jul 2025,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,
Valid votes,3947,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,790,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Gary MULVANEY (C),,Ian James MACQUIRE (SNP),,Fiona HOWARD (Lab),,James ALEXANDER-ROBB (Ind),,Sarah DAVIES (Grn),,Alison WILLMOT (C),,
Gary MULVANEY (C),1205,-415,790,,790,,790,,790,,790,,790,Elected
Ian James MACQUIRE (SNP),843,,843,-53,790,,790,,790,,790,,790,Elected
Fiona HOWARD (Lab),841,,841,,841,-51,790,,790,,790,,790,Elected
Graham HARDIE (LD),440,39.94924,479.94924,5.84691,485.79615,19.82928,505.62543,25.2491,530.87453,185.11696,715.99149,293.49629,1009.48778,Elected
Sarah DAVIES (Grn),268,6.19902,274.19902,31.49787,305.69689,8.61088,314.30777,27.24325,341.55102,-341.55102,-,,-,
Alison WILLMOT (C),262,339.91293,601.91293,1.06879,602.98172,7.21616,610.19788,16.81576,627.01364,18.46524,645.47888,-645.47888,-,
James ALEXANDER-ROBB (Ind),88,5.16585,93.16585,2.70341,95.86926,2.85008,98.71934,-98.71934,-,,-,,-,
Non-transferable, ,23.77296,23.77296,11.88302,35.65598,12.4936,48.14958,29.41123,77.56081,137.96882,215.52963,351.98259,567.51222,
Totals,3947,,3947,,3947,,3947,,3947,,3947,,3947,
 ,,,,,,,,,,,,,,
,,,,,,,764.42521,,,,680.735185,,,
,,,,,,,154.22733,,,,-35.256305,,,
