Election for,Argyll and Bute 2022 - Ward 11 - Helensburgh and Lomond South,,,,,,,,,
Date,11 Jul 2025,,,,,,,,,
Number to be elected,3,,,,,,,,,
Valid votes,2884,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,722,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Gemma PENFOLD (C),,Math CAMPBELL-STURGESS (SNP),,Howard GREEN (Grn),,David KINNIBURGH (C),,
Gemma PENFOLD (C),854,-132,722,,722,,722,,722,Elected
Math CAMPBELL-STURGESS (SNP),749,,749,-27,722,,722,,722,Elected
David KINNIBURGH (C),522,110.97408,632.97408,0.64872,633.6228,13.79844,647.42124,-647.42124,-,
Paul Donald KENNEDY (LD),512,10.20096,522.20096,3.64004,525.841,175.57384,701.41484,353.41104,1054.82588,Elected
Howard GREEN (Grn),247,3.0912,250.0912,18.45248,268.54368,-268.54368,-,,-,
Non-transferable, ,7.73376,7.73376,4.25876,11.99252,79.1714,91.16392,294.0102,385.17412,
Totals,2884,,2884,,2884,,2884,,2884,
 ,,,,,,,,,,
,,,,,714.00374,,674.41804,,,
,,,,,80.3809400000001,,-26.9968,,,
