Election for,Clackmannanshire 2022 - Ward 3 - Clackmannanshire Central,,,,,,,,,,,,,
Date,25 Jul 2025,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,
Valid votes,2402,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,601,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Wendy HAMILTON (SNP),,John Robert HOSIE (Grn),,Huw SHERRARD (Lab),,Carolynne Audrey HUNTER (Lab),,Janine RENNIE (Lab),,Kate MASON (C),,
Wendy HAMILTON (SNP),730,-129,601,,601,,601,,601,,601,,601,Elected
Kate MASON (C),416,1.23697,417.23697,9.17671,426.41368,10.17671,436.59039,18,454.59039,21.68112,476.27151,-476.27151,-,
Carolynne Audrey HUNTER (Lab),320,3.71091,323.71091,8.7671,332.47801,37.17671,369.65472,-369.65472,-,,-,,-,
Jane MCTAGGART (SNP),314,104.61232,418.61232,53.83143,472.44375,8.70684,481.15059,24.88762,506.03821,12.97516,519.01337,65.37171,584.38508,Elected
Janine RENNIE (Lab),288,2.65065,290.65065,14.53013,305.18078,163.35342,468.5342,288.53013,757.06433,-156.06433,601,,601,Elected
Huw SHERRARD (Lab),225,1.59039,226.59039,7,233.59039,-233.59039,-,,-,,-,,-,
John Robert HOSIE (Grn),109,10.42589,119.42589,-119.42589,-,,-,,-,,-,,-,
Non-transferable, ,4.77287,4.77287,26.12052,30.89339,14.17671,45.0701,38.23697,83.30707,121.40805,204.71512,410.8998,615.61492,
Totals,2402,,2402,,2402,,2402,,2402,,2402,,2402,
 ,,,,,,,,,,,,,,
,,,598.742376666667,,590.035536666667,,585.309966666667,,558.346465,,497.64244,,,
,,,180.130056666667,,117.591786666667,,104.159376666667,,52.3082550000001,,-21.3709299999999,,,
