Election for,Clackmannanshire 2022 - Ward 5 - Clackmannanshire East,,,,,,,,,,,
Date,25 Jul 2025,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,3315,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,829,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Scott HARRISON (SNP),,Denis COYNE (C),,Les CALDERWOOD (Ind),,Angus James MacDonald MYLES (LD),,Marion ROBERTSON (Grn),,
Scott HARRISON (SNP),1021,-192,829,,829,,829,,829,,829,Elected
Denis COYNE (C),1008,,1008,-179,829,,829,,829,,829,Elected
Kathleen Mary MARTIN (Lab),650,34.9773,684.9773,7.45794,692.43524,16.68197,709.11721,51.07422,760.19143,191.13935,951.33078,Elected
Neil GAULT (C),229,3.19685,232.19685,151.99992,384.19677,20.71595,404.91272,11.59813,416.51085,18.32202,434.83287,
Marion ROBERTSON (Grn),209,93.08475,302.08475,3.19626,305.28101,18.18637,323.46738,53.57694,377.04432,-377.04432,-,
Angus James MacDonald MYLES (LD),123,12.59935,135.59935,4.79439,140.39374,12.91929,153.31303,-153.31303,-,,-,
Les CALDERWOOD (Ind),75,6.7698,81.7698,3.01869,84.78849,-84.78849,-,,-,,-,
Non-transferable, ,41.37195,41.37195,8.5328,49.90475,16.28491,66.18966,37.06374,103.2534,167.58295,270.83635,
Totals,3315,,3315,,3315,,3315,,3315,,3315,
 ,,,,,,,,,,,,
,,,,,803.547625,,,,776.8733,,693.081825,
,,,,,111.112385,,,,16.68187,,-258.248955,
