Election for,Dumfries and Galloway 2022 - Ward 1 - Stranraer and the Rhins,,,,,,,,,,,,,
Date,21 May 2025,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,
Valid votes,4618,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,924,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Andrew GIUSTI (C),,Ben DASHPER (SNP),,Willie SCOBIE (Ind),,Peter Richard BARLOW (Grn),,Tommy SLOAN (Ind),,John MCCUTCHEON (Lab),,
Andrew GIUSTI (C),1518,-594,924,,924,,924,,924,,924,,924,Elected
Ben DASHPER (SNP),1074,,1074,-150,924,,924,,924,,924,,924,Elected
Willie SCOBIE (Ind),1051,,1051,,1051,-127,924,,924,,924,,924,Elected
John MCCUTCHEON (Lab),458,20.7389,478.7389,32.54078,511.27968,11.72051,523.00019,59.42072,582.42091,78.25459,660.6755,-660.6755,-,
Chrissie HILL (C),338,466.0383,804.0383,2.93286,806.97116,9.6664,816.63756,16.43084,833.0684,28.37847,861.44687,164.40851,1025.85538,Elected
Peter Richard BARLOW (Grn),120,6.6521,126.6521,54.32774,180.97984,6.16233,187.14217,-187.14217,-,,-,,-,
Tommy SLOAN (Ind),59,39.9126,98.9126,19.97138,118.88398,79.26448,198.14846,41.27985,239.42831,-239.42831,-,,-,
Non-transferable, ,60.6581,60.6581,40.22724,100.88534,20.18628,121.07162,70.01076,191.08238,132.79525,323.87763,496.26699,820.14462,
Totals,4618,,4618,,4618,,4618,,4618,,4618,,4618,
 ,,,,,,,,,,,,,,
,,,,,872.55733,,862.46419,,827.45881,,,,,
,,,,,65.58617,,45.8266300000001,,-5.60958999999991,,,,,
