Election for,Dumfries and Galloway 2022 - Ward 7 - Mid and Upper Nithsdale,,,,,,,
Date,21 May 2025,,,,,,,
Number to be elected,3,,,,,,,
Valid votes,3972,,,,,,,
Invalid votes,0,,,,,,,
Quota,994,,,,,,,
OpenSTV,1.7,,,,,,,
Election rules,Scottish STV,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,
 ,First,Surplus of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Tony BERRETTI (SNP),,Jim DEMPSTER (Ind),,Kyle THORNTON (C),,
Tony BERRETTI (SNP),1161,-167,994,,994,,994,Elected
Jim DEMPSTER (Ind),1087,,1087,-93,994,,994,Elected
Andrew WOOD (C),629,2.8768,631.8768,10.9504,642.8272,497.11686,1139.94406,Elected
Kyle THORNTON (C),591,5.60976,596.60976,16.34005,612.94981,-612.94981,-,
Callum JAMIESON (Lab),504,91.3384,595.3384,34.81885,630.15725,33.88832,664.04557,
Non-transferable, ,67.17504,67.17504,30.8907,98.06574,81.94463,180.01037,
Totals,3972,,3972,,3972,,3972,
 ,,,,,,,,
,,,958.41248,,942.96713,,901.994815,
,,,326.53568,,300.13993,,-237.949245,
