Election for,Dumfries and Galloway 2022 - Ward 10 - Annandale South,,,,,,,,,,,
Date,21 May 2025,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,
Valid votes,5104,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1021,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Ian CARRUTHERS (C),,George JAMIESON (SNP),,Cameron GARRETT (Grn),,Sean MARSHALL (Lab),,Allan WEILD (C),,
Ian CARRUTHERS (C),1118,-97,1021,,1021,,1021,,1021,,1021,Elected
George JAMIESON (SNP),1104,,1104,-83,1021,,1021,,1021,,1021,Elected
Sean MARSHALL (Lab),975,7.3746,982.3746,20.74968,1003.12428,59.91706,1063.04134,-42.04134,1021,,1021,Elected
Richard John BRODIE (LD),902,9.71712,911.71712,12.63024,924.34736,71.13822,995.48558,21.96804,1017.45362,379.15362,1396.60724,Elected
Allan WEILD (C),839,70.01532,909.01532,1.95468,910.97,10.48582,921.45582,5.12287,926.57869,-926.57869,-,
Cameron GARRETT (Grn),166,0.69408,166.69408,29.16984,195.86392,-195.86392,-,,-,,-,
Non-transferable, ,9.19888,9.19888,18.49556,27.69444,54.32282,82.01726,14.95043,96.96769,547.42507,644.39276,
Totals,5104,,5104,,5104,,5104,,5104,,5104,
 ,,,,,,,,,,,,
,,,,,1011.43518666667,,993.32758,,,,,
,,,,,8.3109066666666,,-69.7137599999999,,,,,
