Election for,Dumfries and Galloway 2022 - Ward 11 - Annandale North,,,,,,,,,
Date,21 May 2025,,,,,,,,,
Number to be elected,4,,,,,,,,,
Valid votes,5741,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1149,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Stephen THOMPSON (SNP),,Gail MACGREGOR (C),,Marion COLLINS (Alba),,Jennifer Vivien NORRIS (Grn),,
Stephen THOMPSON (SNP),1725,-576,1149,,1149,,1149,,1149,Elected
Gail MACGREGOR (C),1153,,1153,-4,1149,,1149,,1149,Elected
Lynne DAVIS (C),1114,20.0346,1134.0346,1.4705,1135.5051,7.00519,1142.51029,23.34602,1165.85631,Elected
Carolyne WILSON (Lab),797,154.26642,951.26642,0.1557,951.42212,21.68858,973.1107,293.57611,1266.68681,Elected
Doug FAIRBAIRN (C),621,13.3564,634.3564,1.89262,636.24902,2.67474,638.92376,9.01211,647.93587,
Jennifer Vivien NORRIS (Grn),263,224.72143,487.72143,0.04152,487.76295,60.72318,548.48613,-548.48613,-,
Marion COLLINS (Alba),68,55.09515,123.09515,0.02076,123.11591,-123.11591,-,,-,
Non-transferable, ,108.526,108.526,0.4189,108.9449,31.02422,139.96912,222.55189,362.52101,
Totals,5741,,5741,,5741,,5741,,5741,
 ,,,,,,,,,,
,,,1100.2197,,1099.275,,1080.260295,,965.739495,
,,,-33.8148999999999,,-36.2301000000005,,-62.2499949999999,,-300.947315,
