Election for,Dundee 2022 - Ward 3 - West End,,,,,,,,,,,,,,,
Date,20 Aug 2024,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,
Valid votes,5732,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1147,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Fraser MACPHERSON (LD),,Brooke LABAGH (IndScot),,Annie JENKINS (Alba),,Donald HAY (C),,Ted BOOTH (Grn),,Nadia EL-NAKLA (SNP),,Richard MCCREADY (Lab),,
Fraser MACPHERSON (LD),2146,-999,1147,,1147,,1147,,1147,,1147,,1147,,1147,Elected
Nadia EL-NAKLA (SNP),924,37.2408,961.2408,3,964.2408,10.46551,974.70631,3.93102,978.63733,239.18959,1217.82692,-70.82692,1147,,1147,Elected
Bill CAMPBELL (SNP),872,50.74059,922.74059,0.46551,923.2061,16.46551,939.67161,6.93102,946.60263,111.51714,1058.11977,61.15075,1119.27052,153.70178,1272.9723,Elected
Richard MCCREADY (Lab),624,107.0673,731.0673,3,734.0673,6.93102,740.99832,90.12061,831.11893,97.05163,928.17056,3.55818,931.72874,-931.72874,-,
Ted BOOTH (Grn),536,29.79264,565.79264,1,566.79264,10.46551,577.25815,15.86204,593.12019,-593.12019,-,,-,,-,
Donald HAY (C),386,67.03344,453.03344,,453.03344,4.93102,457.96446,-457.96446,-,,-,,-,,-,
Michael CRICHTON (LD),165,656.3691,821.3691,2.39653,823.76563,12.39653,836.16216,185.15447,1021.31663,81.37918,1102.69581,2.64683,1105.34264,354.72212,1460.06476,Elected
Annie JENKINS (Alba),64,4.6551,68.6551,3,71.6551,-71.6551,-,,-,,-,,-,,-,
Brooke LABAGH (IndScot),15,2.32755,17.32755,-17.32755,-,,-,,-,,-,,-,,-,
Non-transferable, ,43.77348,43.77348,4.46551,48.23899,10,58.23899,155.9653,214.20429,63.98265,278.18694,3.47116,281.6581,423.30484,704.96294,
Totals,5732,,5732,,5732,,5732,,5732,,5732,,5732,,5732,
 ,,,,,,,,,,,,,,,,
