Election for,Dundee 2022 - Ward 4 - Coldside,,,,,,,,,,,,,,,,,
Date,20 Aug 2024,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,
Valid votes,5589,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,
Quota,1118,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Heather ANDERSON (SNP),,Mark FLYNN (SNP),,Wayne SCOTT (TUSC),,Scott AGNEW (Alba),,Jenny BLAIN (LD),,Naveed ALI (C),,George MCIRVINE (Lab),,Tanya JONES (Grn),,
Heather ANDERSON (SNP),1737,-619,1118,,1118,,1118,,1118,,1118,,1118,,1118,,1118,Elected
George MCIRVINE (Lab),960,10.33444,970.33444,12.48356,982.818,5.1672,987.9852,23.12473,1011.10993,33.38685,1044.49678,110.55405,1155.05083,-37.05083,1118,,1118,Elected
Helen WRIGHT (Lab),777,8.909,785.909,11.75512,797.66412,14.53701,812.20113,10.52356,822.72469,31.57601,854.3007,83.6029,937.9036,27.40983,965.31343,327.90114,1293.21457,Elected
Mark FLYNN (SNP),751,524.20556,1275.20556,-157.20556,1118,,1118,,1118,,1118,,1118,,1118,,1118,Elected
Tanya JONES (Grn),551,33.14148,584.14148,52.75295,636.89443,19.71273,656.60716,46.10955,702.71671,61.56895,764.28566,44.23629,808.52195,1.75048,810.27243,-810.27243,-,
Naveed ALI (C),444,2.13816,446.13816,2.41029,448.54845,2.12327,450.67172,12.5016,463.17332,22.02516,485.19848,-485.19848,-,,-,,-,
Jenny BLAIN (LD),176,3.20724,179.20724,4.36291,183.57015,2,185.57015,10.42226,195.99241,-195.99241,-,,-,,-,,-,
Scott AGNEW (Alba),141,9.26536,150.26536,14.05918,164.32454,1.3344,165.65894,-165.65894,-,,-,,-,,-,,-,
Wayne SCOTT (TUSC),52,0.35636,52.35636,3.80167,56.15803,-56.15803,-,,-,,-,,-,,-,,-,
Non-transferable, ,27.4424,27.4424,55.57988,83.02228,11.28342,94.3057,62.97724,157.28294,47.43544,204.71838,246.80524,451.52362,7.89052,459.41414,482.37129,941.78543,
Totals,5589,,5589,,5589,,5589,,5589,,5589,,5589,,5589,,5589,
 ,,,,,,,,,,,,,,,,,,
