Election for,Dundee 2022 - Ward 7 - East End,,,
Date,20 Aug 2024,,,
Number to be elected,3,,,
Valid votes,4117,,,
Invalid votes,0,,,
Quota,1030,,,
OpenSTV,1.7,,,
Election rules,Scottish STV,,,
 ,,Stage,2,
 ,First,Surplus of,,
Candidates,Preferences,Will DAWSON (SNP),,
Will DAWSON (SNP),1350,-320,1030,Elected
Dorothy MCHUGH (Lab),1071,,1071,Elected
Christina ROBERTS (SNP),823,264.52548,1087.52548,Elected
Bill CRABB (C),440,4.02951,444.02951,
Alison MCINTOSH (Grn),167,16.5921,183.5921,
Allan PETRIE (Alba),151,6.87387,157.87387,
Outi MAATTANEN-BOURKE (LD),115,4.97763,119.97763,
Non-transferable, ,23.00141,23.00141,
Totals,4117,,4117,
 ,,,,
