Election for,East Ayrshire 2022 - Ward 1 - Annick,,,,,,,,,
Date,10 Sep 2024,,,,,,,,,
Number to be elected,4,,,,,,,,,
Valid votes,6184,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1237,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,John MCFADZEAN (C),,John MCGHEE (Lab),,John CAIRNS (Ind),,Wendy HANNAH (SNP),,
John MCFADZEAN (C),1516,-279,1237,,1237,,1237,,1237,Elected
John MCGHEE (Lab),1183,87.23022,1270.23022,-33.23022,1237,,1237,,1237,Elected
Stephen CANNING (SNP),1048,4.23269,1052.23269,1.77677,1054.00946,85.05485,1139.06431,947.20038,2086.26469,Elected
Wendy HANNAH (SNP),998,6.07299,1004.07299,3.37523,1007.44822,55.62966,1063.07788,-1063.07788,-,
Ellen FREEL (Ind),812,60.54587,872.54587,11.17706,883.72293,332.59956,1216.32249,58.207,1274.52949,Elected
John CAIRNS (Ind),627,39.56645,666.56645,6.40067,672.96712,-672.96712,-,,-,
Non-transferable, ,81.35178,81.35178,10.50049,91.85227,199.68305,291.53532,57.6705,349.20582,
Totals,6184,,6184,,6184,,6184,,6184,
 ,,,,,,,,,,
