Election for,East Ayrshire 2022 - Ward 5 - Kilmarnock South,,,
Date,10 Sep 2024,,,
Number to be elected,3,,,
Valid votes,3036,,,
Invalid votes,0,,,
Quota,760,,,
OpenSTV,1.7,,,
Election rules,Scottish STV,,,
 ,,Stage,2,
 ,First,Surplus of,,
Candidates,Preferences,Jim TODD (SNP),,
Jim TODD (SNP),990,-230,760,Elected
Peter MABON (Lab),954,,954,Elected
Clare MAITLAND (SNP),627,201.65376,828.65376,Elected
Robin BAWA (C),370,4.41408,374.41408,
Stewart John MCLINTOCK (Alba),57,5.57568,62.57568,
Keyrin James VON-DÖRING (Libtn),38,2.3232,40.3232,
Non-transferable, ,16.03328,16.03328,
Totals,3036,,3036,
 ,,,,
