Election for,East Ayrshire 2022 - Ward 9 - Doon Valley,,,,,,,,,,,
Date,10 Sep 2024,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,3866,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,967,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Drew FILSON (Ind),,Murray HENDRIE (Ind),,Elaine STEWART (Lab),,John BELL (Ind),,Samantha HAINEY (C),,
Drew FILSON (Ind),1077,-110,967,,967,,967,,967,,967,Elected
Elaine STEWART (Lab),894,35.23485,929.23485,44.85964,974.09449,-7.09449,967,,967,,967,Elected
Jennifer HOGG (SNP),803,14.09394,817.09394,9.40852,826.50246,1.09346,827.59592,99.67898,927.2749,146.84141,1074.11631,Elected
Samantha HAINEY (C),644,7.65975,651.65975,29.91917,681.57892,1.10346,682.68238,97.43561,780.11799,-780.11799,-,
John BELL (Ind),311,22.4686,333.4686,40.18733,373.65593,2.08686,375.74279,-375.74279,-,,-,
Murray HENDRIE (Ind),137,9.70235,146.70235,-146.70235,-,,-,,-,,-,
Non-transferable, ,20.84051,20.84051,22.32769,43.1682,2.81071,45.97891,178.6282,224.60711,633.27658,857.88369,
Totals,3866,,3866,,3866,,3866,,3866,,3866,
 ,,,,,,,,,,,,
