Election for,East Dunbartonshire 2022 - Ward 2 - Bearsden North,,,,,,,,,,,
Date,26 Dec 2024,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,6906,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1727,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Duncan CUMMING (Ind),,Neill John SIMPSON (Grn),,Craig MUNCIE (Lab),,Calum SMITH (SNP),,Duncan EVANS (C),,
Duncan CUMMING (Ind),2645,-918,1727,,1727,,1727,,1727,,1727,Elected
Calum SMITH (SNP),1316,88.15324,1404.15324,254.88834,1659.04158,162.92358,1821.96516,-94.96516,1727,,1727,Elected
Duncan EVANS (C),1035,228.01842,1263.01842,6.42942,1269.44784,100.60008,1370.04792,3.02184,1373.06976,-1373.06976,-,
Alan REID (LD),858,261.33618,1119.33618,80.47654,1199.81272,369.28846,1569.10118,36.62404,1605.72522,772.83476,2378.55998,Elected
Craig MUNCIE (Lab),655,140.21224,795.21224,78.45298,873.66522,-873.66522,-,,-,,-,
Neill John SIMPSON (Grn),397,81.5591,478.5591,-478.5591,-,,-,,-,,-,
Non-transferable,,118.72082,118.72082,58.31182,177.03264,240.8531,417.88574,55.31928,473.20502,600.235,1073.44002,
Totals,6906,,6906,,6906,,6906,,6906,,6906,
 ,,,,,,,,,,,,
