Election for,East Dunbartonshire 2022 - Ward 4 - Bishopbriggs North & Campsie,,,,,,,,,,,,,
Date,26 Dec 2024,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,
Valid votes,8072,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1615,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Paul FERRETTI (SNP),,Colette MCDIARMID (Lab),,Alan HARRIS (Alba),,Paul GALLACHER (ScFam),,Elizabeth ROWAN (Grn),,Gary PEWS (LD),,
Paul FERRETTI (SNP),2130,-515,1615,,1615,,1615,,1615,,1615,,1615,Elected
Colette MCDIARMID (Lab),1674,,1674,-59,1615,,1615,,1615,,1615,,1615,Elected
Billy HENDRY (C),1495,7.49518,1502.49518,6.83656,1509.33174,13.10572,1522.43746,56.35476,1578.79222,17.97202,1596.76424,565.11706,2161.8813,Elected
Gary PEWS (LD),1229,25.14512,1254.14512,19.87536,1274.02048,15.07284,1289.09332,44.12514,1333.21846,96.5698,1429.78826,-1429.78826,-,
Lynda WILLIAMSON (SNP),849,374.27544,1223.27544,5.35648,1228.63192,39.6009,1268.23282,24.46012,1292.69294,300.16016,1592.8531,230.86422,1823.71732,Elected
Elizabeth ROWAN (Grn),410,52.46626,462.46626,6.23748,468.70374,23.04232,491.74606,16.59654,508.3426,-508.3426,-,,-,
Paul GALLACHER (ScFam),164,11.36366,175.36366,2.85444,178.2181,21.83106,200.04916,-200.04916,-,,-,,-,
Alan HARRIS (Alba),121,14.5068,135.5068,1.02196,136.52876,-136.52876,-,,-,,-,,-,
Non-transferable,,29.74754,29.74754,16.81772,46.56526,23.87592,70.44118,58.5126,128.95378,93.64062,222.5944,633.80698,856.40138,
Totals,8072,,8072,,8072,,8072,,8072,,8072,,8072,
 ,,,,,,,,,,,,,,
