Election for,East Lothian 2022 - Ward 4 - North Berwick Coastal,,,,,,,,,,,,,,,
Date,19 Jun 2025,,,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,,,
Valid votes,6849,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1713,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Surplus of,,Exclusion of,,
Candidates,Preferences,George Henry COWEN (UKIP),,Alison CARTER (ScFam),,Stuart SMITH (LD),,Jacq COTTRELL (Grn),,Carol MCFARLANE (Lab),,Liz ALLAN (SNP),,Judy LOCKHART-HUNTER (C),,
Carol MCFARLANE (Lab),1447,2,1449,3,1452,168,1620,351,1971,-258,1713,,1713,,1713,Elected
Jeremy FINDLAY (C),1389,1,1390,5,1395,36,1431,37,1468,42.93192,1510.93192,10.84467,1521.77659,1192.28989,2714.06648,Elected
Liz ALLAN (SNP),1360,1,1361,2,1363,20,1383,432,1815,,1815,-102,1713,,1713,Elected
Judy LOCKHART-HUNTER (C),1280,2,1282,6,1288,50,1338,35,1373,37.30365,1410.30365,7.69803,1418.00168,-1418.00168,-,
Jacq COTTRELL (Grn),901,2,903,7,910,96,1006,-1006,-,,-,,-,,-,
Stuart SMITH (LD),425,,425,4,429,-429,-,,-,,-,,-,,-,
Alison CARTER (ScFam),29,4,33,-33,-,,-,,-,,-,,-,,-,
George Henry COWEN (UKIP),18,-18,-,,-,,-,,-,,-,,-,,-,
Non-transferable,,6,6,6,12,59,71,151,222,177.76443,399.76443,83.4573,483.22173,225.71179,708.93352,
Totals,6849,,6849,,6849,,6849,,6849,,6849,,6849,,6849,
 ,,,,,,,,,,,,,,,,
,1712.25,,,,,,1694.5,,1600.5,,1511.617785,,1469.889135,,,
,265.25,,,,,,74.5,,132.5,,0.685864999999922,,-51.887455,,,
