Election for,East Lothian 2022 - Ward 5 - Haddington and Lammermuir,,,,,,,,,,,,,,,,,
Date,19 Jun 2025,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,
Valid votes,7830,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,
Quota,1567,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,George MCGUIRE (C),,Shamin AKHTAR (Lab),,Morgwn DAVIES (Lab),,David BARRETT (Ind),,Stuart CRAWFORD (LD),,Jackie SWAILES (Grn),,John MCMILLAN (Lab),,Graeme MACGREGOR (SNP),,
George MCGUIRE (C),1714,-147,1567,,1567,,1567,,1567,,1567,,1567,,1567,,1567,Elected
Shamin AKHTAR (Lab),1625,,1625,-58,1567,,1567,,1567,,1567,,1567,,1567,,1567,Elected
John MCMILLAN (Lab),1228,43.22304,1271.22304,39.43745,1310.66049,9.19283,1319.85332,24.76547,1344.61879,197.8781,1542.49689,171.51372,1714.01061,-147.01061,1567,,1567,Elected
Tom TROTTER (SNP),1107,2.05824,1109.05824,1.46329,1110.52153,14,1124.52153,7.20721,1131.72874,17.13619,1148.86493,202.20705,1351.07198,26.97539,1378.04737,972.49401,2350.54138,Elected
Graeme MACGREGOR (SNP),944,1.7152,945.7152,3.74745,949.46265,21,970.46265,12.03569,982.49834,20.88532,1003.38366,150.87146,1154.25512,13.94663,1168.20175,-1168.20175,-,
Jackie SWAILES (Grn),577,3.94496,580.94496,3.42624,584.3712,7.12145,591.49265,17.79315,609.2858,115.71628,725.00208,-725.00208,-,,-,,-,
Stuart CRAWFORD (LD),432,37.90592,469.90592,4.56832,474.47424,4.25728,478.73152,54.68059,533.41211,-533.41211,-,,-,,-,,-,
David BARRETT (Ind),118,14.66496,132.66496,1.60605,134.27101,14.17152,148.44253,-148.44253,-,,-,,-,,-,,-,
Morgwn DAVIES (Alba),85,0.68608,85.68608,0.17845,85.86453,-85.86453,-,,-,,-,,-,,-,,-,
Non-transferable, ,42.8016,42.8016,3.57275,46.37435,16.12145,62.4958,31.96042,94.45622,181.79622,276.25244,200.40985,476.66229,106.08859,582.75088,195.70774,778.45862,
Totals,7830,,7830,,7830,,7830,,7830,,7830,,7830,,7830,,7830,
 ,,,,,,,,,,,,,,,,,,
,,,,,1549.87521666667,,,,1533.84792666667,,1438.625335,,1326.168855,,,,,
,,,,,239.214726666667,,,,189.229136666667,,-103.871555,,-387.841755,,,,,
