Election for,East Lothian 2022 - Ward 6 - Dunbar and East Linton,,,,,,,,,,,
Date,19 Jun 2025,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,6505,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1627,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Lyn JARDINE (SNP),,Norman HAMPSHIRE (Lab),,Timothy ANDERSON (ScFam),,Cris THACKER (IndScot),,Jacquie BELL (LD),,
Lyn JARDINE (SNP),1742,-115,1627,,1627,,1627,,1627,,1627,Elected
Norman HAMPSHIRE (Lab),1643,,1643,-16,1627,,1627,,1627,,1627,Elected
Donna COLLINS (C),1395,2.97045,1397.97045,3.10387,1401.07432,10.02919,1411.10351,3.01946,1414.12297,224.34262,1638.46559,Elected
Mark JAMES (Grn),984,65.01985,1049.01985,2.97738,1051.99723,9.53018,1061.52741,29.57391,1091.10132,267.91863,1359.01995,
Jacquie BELL (LD),659,14.32417,673.32417,4.84554,678.16971,9.69139,687.8611,10.58634,698.44744,-698.44744,-,
Cris THACKER (IndScot),44,12.34387,56.34387,0.21406,56.55793,2.31269,58.87062,-58.87062,-,,-,
Timothy ANDERSON (ScFam),38,2.04631,40.04631,0.40866,40.45497,-40.45497,-,,-,,-,
Non-transferable, ,18.29535,18.29535,4.45049,22.74584,8.89152,31.63736,15.69091,47.32827,206.18619,253.51446,
Totals,6505,,6505,,6505,,6505,,6505,,6505,
 ,,,,,,,,,,,,
,,,1616.352325,,1614.12708,,,,,,1498.74277,
,,,218.381875,,213.05276,,,,,,-139.72282,
