Election for,"East Renfrewshire 2022 - Ward 1 ‐ Barrhead, Liboside and Uplawmoor",,,,,,,,,,,,,,,
Date,06 Jun 2025,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,
Valid votes,6733,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1347,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Surplus of,,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Danny DEVLIN (Ind),,Angela CONVERY (SNP),,Betty Wood CUNNINGHAM (Lab),,Neil ANDERSON (Alba),,Frank WILSON (Grn),,Paul AITKEN (Ind),,Greg TURNER (C),,
Danny DEVLIN (Ind),1753,-406,1347,,1347,,1347,,1347,,1347,,1347,,1347,Elected
Angela CONVERY (SNP),1639,,1639,-292,1347,,1347,,1347,,1347,,1347,,1347,Elected
Betty Wood CUNNINGHAM (Lab),1355,,1355,,1355,-8,1347,,1347,,1347,,1347,,1347,Elected
Greg TURNER (C),722,38.214,760.214,0.53445,760.74845,0.9617,761.71015,4.9323,766.64245,13.15175,779.7942,118.61365,898.40785,-898.40785,-,
Chris LUNDAY (SNP),616,74.8068,690.8068,243.7092,934.516,1.0325,935.5485,32.45135,967.99985,136.5005,1104.50035,93.41985,1197.9202,84.26215,1282.18235,Elected
Paul AITKEN (Ind),345,117.4212,462.4212,7.4823,469.9035,1.7169,471.6204,19.48545,491.10585,45.2734,536.37925,-536.37925,-,,-,
Frank WILSON (Grn),229,28.4868,257.4868,14.6083,272.0951,0.9381,273.0332,11.57955,284.61275,-284.61275,-,,-,,-,
Neil ANDERSON (Alba),74,17.8332,91.8332,3.74115,95.57435,0.177,95.75135,-95.75135,-,,-,,-,,-,
Non-transferable, ,129.238,129.238,21.9246,151.1626,3.1738,154.3364,27.3027,181.6391,89.6871,271.3262,324.34575,595.67195,814.1457,1409.81765,
Totals,6733,,6733,,6733,,6733,,6733,,6733,,6733,,6733,
 ,,,,,,,,,,,,,,,,
,,,,,,,1268.8318,,,,1210.3369,,1048.164025,,,
,,,,,,,333.2833,,,,105.83655,,-149.756175,,,
