Election for,Edinburgh 2022 - Ward 5 - Inverleith,,,,,,,,,,,,,,,,,,,
Date,25 Jul 2024,,,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,,,
Valid votes,13416,,,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,,,
Quota,2684,,,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,Stage,10,
,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Hal OSLER (LD),,Stephen MCNAMARA (Ind),,Tam LAIRD (Libtn),,Phil HOLDEN (ScFam),,Stuart HERRING (C),,Mhairi MUNRO-BRIAN (Lab),,Vicky NICOLSON (SNP),,Max MITCHELL (C),,Malcolm Alexander WOOD (LD),,
Hal OSLER (LD),3117,-433,2684,,2684,,2684,,2684,,2684,,2684,,2684,,2684,,2684,Elected
Vicky NICOLSON (SNP),2641,16.25247,2657.25247,2,2659.25247,4,2663.25247,5.13891,2668.39138,15,2683.39138,253.36147,2936.75285,-252.75285,2684,,2684,,2684,Elected
Max MITCHELL (C),1836,41.53409,1877.53409,1.13891,1878.673,5.13891,1883.81191,13,1896.81191,746.83422,2643.64613,123.91711,2767.56324,,2767.56324,-83.56324,2684,,2684,Elected
Jule BANDEL (Grn),1714,26.11508,1740.11508,,1740.11508,1.27782,1741.3929,10.13891,1751.53181,16.27782,1767.80963,453.83422,2221.64385,158.1829,2379.82675,3.84498,2383.67173,575.27934,2958.95107,Elected
Mhairi MUNRO-BRIAN (Lab),1684,29.03219,1713.03219,2,1715.03219,6,1721.03219,15.13891,1736.1711,19.13891,1755.31001,-1755.31001,-,,-,,-,,-,
Malcolm Alexander WOOD (LD),1405,295.60048,1700.60048,2.13891,1702.73939,9,1711.73939,13.55564,1725.29503,39.7782,1765.07323,510.47427,2275.5475,27.48648,2303.03398,34.7245,2337.75848,-2337.75848,-,
Stuart HERRING (C),853,10.14043,863.14043,,863.14043,4,867.14043,22.13891,889.27934,-889.27934,-,,-,,-,,-,,-,
Phil HOLDEN (ScFam),96,1.3891,97.3891,1,98.3891,11,109.3891,-109.3891,-,,-,,-,,-,,-,,-,
Tam LAIRD (Libtn),53,0.55564,53.55564,,53.55564,-53.55564,-,,-,,-,,-,,-,,-,,-,
Stephen MCNAMARA (Ind),17,0.27782,17.27782,-17.27782,-,,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,12.1027,12.1027,9,21.1027,13.13891,34.24161,30.27782,64.51943,52.25019,116.76962,413.72294,530.49256,67.08347,597.57603,44.99376,642.56979,1762.47914,2405.04893,
Totals,13416,,13416,,13416,,13416,,13416,,13416,,13416,,13416,,13416,,13416,
