Election for,Edinburgh 2022 - Ward 7 - Sighthill/Gorgie,,,,,,,,,,,,,,,
Date,25 Jul 2024,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,
Valid votes,8375,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1676,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Ross MCKENZIE (Lab),,David HENRY (Alba),,Devin SCOBIE (LD),,Ashley GRACZYK (Ind),,Catherine FULLERTON (SNP),,Denis DIXON (SNP),,Mark HOOLEY (C),,
Ross MCKENZIE (Lab),1929,-253,1676,,1676,,1676,,1676,,1676,,1676,,1676,Elected
Catherine FULLERTON (SNP),1567,21.37745,1588.37745,29.7869,1618.16435,30.7214,1648.88575,164.96725,1813.853,-137.853,1676,,1676,,1676,Elected
Denis DIXON (SNP),1462,18.361,1480.361,34.13115,1514.49215,15.4099,1529.90205,62.3115,1592.21355,109.02556,1701.23911,-25.23911,1676,,1676,Elected
Dan HEAP (Grn),1116,35.01705,1151.01705,17.70495,1168.722,89.03305,1257.75505,261.869,1519.62405,12.93472,1532.55877,12.37512,1544.93389,217.68995,1762.62384,Elected
Mark HOOLEY (C),986,24.78735,1010.78735,12.39345,1023.1808,108.08225,1131.26305,153.6722,1284.93525,1.95976,1286.89501,1.03694,1287.93195,-1287.93195,-,
Ashley GRACZYK (Ind),797,22.5578,819.5578,37.91805,857.47585,77.5412,935.01705,-935.01705,-,,-,,-,,-,
Devin SCOBIE (LD),354,66.6242,420.6242,18.5246,439.1488,-439.1488,-,,-,,-,,-,,-,
David HENRY (Alba),164,6.0329,170.0329,-170.0329,-,,-,,-,,-,,-,,-,
Non-transferable, ,58.24225,58.24225,19.5738,77.81605,118.361,196.17705,292.1971,488.37415,13.93296,502.30711,11.82705,514.13416,1070.242,1584.37616,
Totals,8375,,8375,,8375,,8375,,8375,,8375,,8375,,8375,
