Election for,Edinburgh 2022 - Ward 9 - Fountainbridge/Craiglockhart,,,,,,,,,,,,,
Date,25 Jul 2024,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,
Valid votes,9028,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,2258,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Christopher COWDY (C),,Gregor MASSON (Libtn),,Fraser Kenneth RAMSAY (ScFam),,Fraser John Ashmore GRAHAM (LD),,Val WALKER (Lab),,Megan MCHANEY (Grn),,
Christopher COWDY (C),2399,-141,2258,,2258,,2258,,2258,,2258,,2258,Elected
David KEY (SNP),2051,2.46834,2053.46834,4.05877,2057.52711,6.05877,2063.58588,57.29294,2120.87882,24.49863,2145.37745,1400.74713,3546.12458,Elected
Val WALKER (Lab),2026,34.96815,2060.96815,6.29385,2067.262,15.58679,2082.84879,325.56768,2408.41647,-150.41647,2258,,2258,Elected
Megan MCHANEY (Grn),1800,5.23053,1805.23053,7.05877,1812.2893,11.29385,1823.58315,147.40684,1970.98999,54.96286,2025.95285,-2025.95285,-,
Fraser John Ashmore GRAHAM (LD),642,48.60279,690.60279,9.41139,700.01418,19.11572,719.1299,-719.1299,-,,-,,-,
Fraser Kenneth RAMSAY (ScFam),69,7.16994,76.16994,9.05786,85.2278,-85.2278,-,,-,,-,,-,
Gregor MASSON (Libtn),41,2.58588,43.58588,-43.58588,-,,-,,-,,-,,-,
Non-transferable, ,39.97437,39.97437,7.70524,47.67961,33.17267,80.85228,188.86244,269.71472,70.95498,340.6697,625.20572,965.87542,
Totals,9028,,9028,,9028,,9028,,9028,,9028,,9028,
