Election for,Edinburgh 2022 - Ward 11 - City Centre,,,,,,,,,,,,,,,,,,,,,,,,,
Date,25 Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,,,,,,,,,
Valid votes,8857,,,,,,,,,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,,,,,,,,,
Quota,1772,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,Stage,10,Stage,11,Stage,12,Stage,13,
,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Jo MOWAT (C),,Maria PAKPAHAN-CAMPBELL (Ind),,Paul R. PENMAN (Ind),,Pete CARSON (Ind),,Kevin ILLINGWORTH (Ind),,Kevan SHAW (Alba),,Claire MILLER (Grn),,Norrie ROWAN (Ind),,Bonnie Prince BOB (Ind),,Marianne MWIKI (SNP),,Finlay MCFARLANE (SNP),,Andy FOXALL (LD),,
Jo MOWAT (C),1896,-124,1772,,1772,,1772,,1772,,1772,,1772,,1772,,1772,,1772,,1772,,1772,,1772,Elected
Claire MILLER (Grn),1755,5.1666,1760.1666,,1760.1666,1,1761.1666,4,1765.1666,5.1308,1770.2974,14.0654,1784.3628,-12.3628,1772,,1772,,1772,,1772,,1772,,1772,Elected
Andy FOXALL (LD),1341,54.5436,1395.5436,,1395.5436,2.3924,1397.936,4.1308,1402.0668,12.4578,1414.5246,7.1962,1421.7208,1.44594,1423.16674,25.71514,1448.88188,26.7232,1475.60508,19.29086,1494.89594,56.16002,1551.05596,-1551.05596,-,
Margaret Arma GRAHAM (Lab),1297,17.5926,1314.5926,3,1317.5926,0.0654,1317.658,1.0654,1318.7234,7.1962,1325.9196,7,1332.9196,2.96159,1335.88119,12.39932,1348.28051,36.38236,1384.66287,86.70249,1471.36536,98.45177,1569.81713,780.09571,2349.91284,Elected
Finlay MCFARLANE (SNP),1182,1.1118,1183.1118,2,1185.1118,2,1187.1118,3.0654,1190.1772,1.0654,1191.2426,12,1203.2426,2.27848,1205.52108,4,1209.52108,27.1,1236.62108,883.46936,2120.09044,-348.09044,1772,,1772,Elected
Marianne MWIKI (SNP),984,0.7194,984.7194,2,986.7194,,986.7194,1,987.7194,2,989.7194,14.0654,1003.7848,4.41676,1008.20156,3,1011.20156,22.07612,1033.27768,-1033.27768,-,,-,,-,
Bonnie Prince BOB (Ind),117,2.3544,119.3544,,119.3544,0.0654,119.4198,1.1962,120.616,4.1962,124.8122,28.0654,152.8776,0.33998,153.21758,28.87788,182.09546,-182.09546,-,,-,,-,,-,
Kevan SHAW (Alba),105,0.5232,105.5232,2,107.5232,,107.5232,1.0654,108.5886,1,109.5886,-109.5886,-,,-,,-,,-,,-,,-,,-,
Norrie ROWAN (Ind),84,5.6898,89.6898,0.0654,89.7552,7.2426,96.9978,3,99.9978,13.5886,113.5864,12,125.5864,0.07747,125.66387,-125.66387,-,,-,,-,,-,,-,
Kevin ILLINGWORTH (Ind),50,1.962,51.962,0.1308,52.0928,0.3924,52.4852,5.327,57.8122,-57.8122,-,,-,,-,,-,,-,,-,,-,,-,
Pete CARSON (Ind),21,1.1118,22.1118,1,23.1118,1.1308,24.2426,-24.2426,-,,-,,-,,-,,-,,-,,-,,-,,-,
Paul R. PENMAN (Ind),14,2.4852,16.4852,1.327,17.8122,-17.8122,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Maria PAKPAHAN-CAMPBELL (Ind),11,0.654,11.654,-11.654,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,30.0856,30.0856,0.1308,30.2164,3.5232,33.7396,0.3924,34.132,11.1772,45.3092,15.1962,60.5054,0.84258,61.34798,51.67153,113.01951,69.81378,182.83329,43.81497,226.64826,193.47865,420.12691,770.96025,1191.08716,
Totals,8857,,8857,,8857,,8857,,8857,,8857,,8857,,8857,,8857,,8857,,8857,,8857,,8857,
