Election for,Edinburgh 2022 - Ward 14 - Craigentinny/Duddingston,,,,,,,,,,,
Date,25 Jul 2024,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,
Valid votes,10353,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,2071,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
,First,Surplus of,,Surplus of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Joan GRIFFITHS (Lab),,Danny ASTON (SNP),,Elaine Ruth FORD (LD),,Iain WHYTE (C),,Shelly-Ann BROWN (SNP),,
Joan GRIFFITHS (Lab),2136,-65,2071,,2071,,2071,,2071,,2071,Elected
Danny ASTON (SNP),2129,,2129,-58,2071,,2071,,2071,,2071,Elected
Iain WHYTE (C),2011,8.64212,2019.64212,0.38136,2020.02348,178.70708,2198.73056,-127.73056,2071,,2071,Elected
Alex STANIFORTH (Grn),1706,13.0849,1719.0849,3.97704,1723.06194,214.98367,1938.04561,18.36079,1956.4064,1329.97434,3286.38074,Elected
Shelly-Ann BROWN (SNP),1674,7.79008,1681.79008,50.14884,1731.93892,100.93967,1832.87859,5.17578,1838.05437,-1838.05437,-,
Elaine Ruth FORD (LD),697,19.11004,716.11004,1.0896,717.19964,-717.19964,-,,-,,-,
Non-transferable, ,16.37286,16.37286,2.40316,18.77602,222.56922,241.34524,104.19399,345.53923,508.08003,853.61926,
Totals,10353,,10353,,10353,,10353,,10353,,10353,
