Election for,Edinburgh 2022 - Ward 15 - Southside/Newington,,,,,,,,,
Date,25 Jul 2024,,,,,,,,,
Number to be elected,4,,,,,,,,,
Valid votes,11788,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,2358,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,
,First,Surplus of,,Surplus of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Tim POGSON (Lab),,Steve BURGESS (Grn),,Simita KUMAR (SNP),,Cameron ROSE (C),,
Tim POGSON (Lab),2837,-479,2358,,2358,,2358,,2358,Elected
Steve BURGESS (Grn),2717,,2717,-359,2358,,2358,,2358,Elected
Simita KUMAR (SNP),2260,77.6664,2337.6664,218.93941,2556.60581,-198.60581,2358,,2358,Elected
Cameron ROSE (C),2077,62.13312,2139.13312,6.73863,2145.87175,8.08102,2153.95277,-2153.95277,-,
Pauline FLANNERY (LD),1897,244.14264,2141.14264,95.26573,2236.40837,94.51969,2330.92806,1408.5347,3739.46276,Elected
Non-transferable, ,95.05784,95.05784,38.05623,133.11407,96.0051,229.11917,745.41807,974.53724,
Totals,11788,,11788,,11788,,11788,,11788,
