Election for,"Eilean Siar 2022 - Ward 2 - Uibhist a Deas, Èirisgeigh agus Beinn na Faoghla",,,,,,,,,,,,,,,
Date,30 Jul 2025,,,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,,,
Valid votes,1306,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,327,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Andrew Veitch WALKER (Ind),,Calum MACMILLAN (Alba),,Iain Archie MACNEIL (Ind),,PAUL FRANCIS STEELE (Ind),,Roddy MACKAY (Grn),,Susan THOMSON (SNP),,DONNIE STEELE (Ind),,
PAUL FRANCIS STEELE (Ind),275,15,290,15,305,47,352,-25,327,,327,,327,,327,Elected
Susan THOMSON (SNP),221,9,230,13,243,19,262,4.75834,266.75834,65.92326,332.6816,-5.6816,327,,327,Elected
Iain Murdoch MACLEOD (Ind),177,11,188,17,205,45,250,5.46854,255.46854,46.63918,302.10772,1.157,303.26472,81.60607,384.87079,Elected
Roddy MACKAY (Grn),176,6,182,4,186,11,197,4.47426,201.47426,-201.47426,-,,-,,-,
DONNIE STEELE (Ind),155,6,161,19,180,20,200,6.88894,206.88894,46.27836,253.1673,1.50808,254.67538,-254.67538,-,
Iain Archie MACNEIL (Ind),138,9,147,12,159,-159,-,,-,,-,,-,,-,
Calum MACMILLAN (Alba),92,6,98,-98,-,,-,,-,,-,,-,,-,
Andrew Veitch WALKER (Ind),72,-72,-,,-,,-,,-,,-,,-,,-,
Non-transferable,,10,10,18,28,17,45,3.40992,48.40992,42.63346,91.04338,3.01652,94.0599,173.06931,267.12921,
Totals,1306,,1306,,1306,,1306,,1306,,1306,,1306,,1306,
 ,,,,,,,,,,,,,,,,
,326.5,,324,,319.5,,311.333333333333,,310.196693333333,,295.98554,,,,,
,51.5,,34,,14.5,,49.3333333333333,,43.4383533333333,,-36.69606,,,,,
