Election for,Eilean Siar 2022 - Ward 10 - Steòrnabhagh a Deas,,,,,,,,,,,,,
Date,30 Jul 2025,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,
Valid votes,1446,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,290,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,GEORGE MURRAY (Ind),,Angus MCCORMACK (Ind),,Rae MACKENZIE (SNP),,Frank Stephen BURNS (Ind),,Callum Ian MACMILLAN (Ind),,Archie MACDONALD (Ind),,
GEORGE MURRAY (Ind),367,-77,290,,290,,290,,290,,290,,290,Elected
Rae MACKENZIE (SNP),287,8.6018,295.6018,,295.6018,-5.6018,290,,290,,290,,290,Elected
Angus MCCORMACK (Ind),283,16.5742,299.5742,-9.5742,290,,290,,290,,290,,290,Elected
FRANCES MURRAY (SNP),203,9.6508,212.6508,1.90825,214.55905,2.8822,217.44125,13.30332,230.74457,15.51925,246.26382,54.66546,300.92928,Elected
Archie MACDONALD (Ind),111,8.8116,119.8116,2.11335,121.92495,0.4936,122.41855,35.79512,158.21367,48.14385,206.35752,-206.35752,-,
Callum Ian MACMILLAN (Ind),101,12.1684,113.1684,1.94175,115.11015,0.46274,115.57289,28.84985,144.42274,-144.42274,-,,-,
Frank Stephen BURNS (Ind),94,8.392,102.392,1.56865,103.96065,0.47465,104.4353,-104.4353,-,,-,,-,
Non-transferable, ,12.8012,12.8012,2.0422,14.8434,1.28861,16.13201,26.48701,42.61902,80.75964,123.37866,151.69206,275.07072,
Totals,1446,,1446,,1446,,1446,,1446,,1446,,1446,
 ,,,,,,,,,,,,,,
,,,,,,,279.933995,,266.69049,,226.31067,,,
,,,,,,,62.492745,,35.9459199999999,,-19.9531500000001,,,
