Election for,"Falkirk 2022 - Ward 4 - Carse, Kinnaird and Tryst",,,,,,,,,,,,,
Date,22 May 2025,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,
Valid votes,7178,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1436,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Gary BOUSE (SNP),,Margaret ANSLOW (Lab),,Laura MURTAGH (SNP),,Sean Patrick MCCAY (LD),,Tom MCLAUGHLIN (Grn),,Robert KEMP (C),,
Gary BOUSE (SNP),1961,-525,1436,,1436,,1436,,1436,,1436,,1436,Elected
Margaret ANSLOW (Lab),1762,,1762,-326,1436,,1436,,1436,,1436,,1436,Elected
Laura MURTAGH (SNP),1224,446.55696,1670.55696,,1670.55696,-234.55696,1436,,1436,,1436,,1436,Elected
James FLYNN (C),1081,7.49616,1088.49616,55.13298,1143.62914,6.6051,1150.23424,47.24221,1197.47645,85.52419,1283.00064,667.71226,1950.7129,Elected
Robert KEMP (C),646,3.74808,649.74808,24.60633,674.35441,3.73758,678.09199,33.80149,711.89348,66.63922,778.5327,-778.5327,-,
Tom MCLAUGHLIN (Grn),297,29.4492,326.4492,44.03238,370.48158,122.41172,492.8933,117.15364,610.04694,-610.04694,-,,-,
Sean Patrick MCCAY (LD),207,8.56704,215.56704,82.32945,297.89649,16.74424,314.64073,-314.64073,-,,-,,-,
Non-transferable, ,29.18256,29.18256,119.89886,149.08142,85.05832,234.13974,116.44339,350.58313,457.88353,808.46666,110.82044,919.2871,
Totals,7178,,7178,,7178,,7178,,7178,,7178,,7178,
 ,,,,,,,,,,,,,,
,,,,,,,1317.93013,,1259.708435,,1030.76667,,,
,,,,,,,167.69589,,62.2319849999999,,-252.23397,,,
