Election for,Falkirk 2022 - Ward 7 - Falkirk South,,,,,,,,,
Date,22 May 2025,,,,,,,,,
Number to be elected,3,,,,,,,,,
Valid votes,6106,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1527,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Lorna BINNIE (SNP),,Sarah PATRICK (C),,Richard WILSON (Ind),,Hunter THOMSON (Grn),,
Lorna BINNIE (SNP),1843,-316,1527,,1527,,1527,,1527,Elected
Sarah PATRICK (C),1744,,1744,-217,1527,,1527,,1527,Elected
Euan STAINBANK (Lab),1364,16.4592,1380.4592,98.16738,1478.62658,45.87896,1524.50554,127.8187,1652.32424,Elected
Emma Lindsey RUSSELL (SNP),701,258.03225,959.03225,5.47448,964.50673,12.82225,977.32898,198.3031,1175.63208,
Hunter THOMSON (Grn),346,23.14575,369.14575,8.7094,377.85515,30.37601,408.23116,-408.23116,-,
Richard WILSON (Ind),108,3.0861,111.0861,27.49682,138.58292,-138.58292,-,,-,
Non-transferable, ,15.2767,15.2767,77.15192,92.42862,49.5057,141.93432,82.10936,224.04368,
Totals,6106,,6106,,6106,,6106,,6106,
 ,,,,,,,,,,
,,,1518.36165,,1479.78569,,1455.03284,,,
,,,137.90245,,1.15911000000006,,-69.4727000000003,,,
