Election for,Falkirk 2022 - Ward 8 - Lower Braes,,,,,,,,,,,
Date,22 May 2025,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,5159,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1290,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Anne HANNAH (Lab),,Scott FALLON (Alba),,Ashley Hunter WARD (LD),,James KERR (C),,Doug SHEEHAN (Grn),,
Anne HANNAH (Lab),1393,-103,1290,,1290,,1290,,1290,,1290,Elected
Gordon FORREST (SNP),1205,8.20734,1213.20734,24.44364,1237.65098,10.40486,1248.05584,0.25365,1248.30949,82.66562,1330.97511,Elected
James KERR (C),1204,21.29472,1225.29472,2.14788,1227.4426,70.54188,1297.98448,-7.98448,1290,,1290,Elected
Adanna Bridget MCCUE (SNP),825,5.32368,830.32368,11.22182,841.5455,7.18304,848.72854,0.1851,848.91364,153.78747,1002.70111,
Doug SHEEHAN (Grn),298,11.75646,309.75646,11.22182,320.97828,57.20734,378.18562,1.09335,379.27897,-379.27897,-,
Ashley Hunter WARD (LD),167,28.31902,195.31902,6.51758,201.8366,-201.8366,-,,-,,-,
Scott FALLON (Alba),67,2.14426,69.14426,-69.14426,-,,-,,-,,-,
Non-transferable, ,25.95452,25.95452,13.59152,39.54604,56.49948,96.04552,6.45238,102.4979,142.82588,245.32378,
Totals,5159,,5159,,5159,,5159,,5159,,5159,
 ,,,,,,,,,,,,
,,,1281.01516,,1276.48465333333,,1241.47724,,,,,
,,,55.7204400000001,,38.8336733333333,,-6.57860000000005,,,,,
