Election for,Falkirk 2022 - Ward 9 - Upper Braes,,,,,,,,,,,,,,,
Date,22 May 2025,,,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,,,
Valid votes,5499,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1375,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Jim ROBERTSON (SNP),,Mark Andrew TUNNICLIFF (Ind),,Ian KENNEDY (Ind),,Siobhan PATERSON (Lab),,Colin TODD (Alba),,Austin REID (LD),,John MCLUCKIE (Ind),,
Jim ROBERTSON (SNP),1918,-543,1375,,1375,,1375,,1375,,1375,,1375,,1375,Elected
Siobhan PATERSON (Lab),1272,93.423,1365.423,5.1324,1370.5554,13.5662,1384.1216,-9.1216,1375,,1375,,1375,,1375,Elected
Claire BROWN (C),1202,12.4564,1214.4564,5,1219.4564,5,1224.4564,1.49561,1225.95201,7.58124,1233.53325,25.5447,1259.07795,147.60149,1406.67944,Elected
John MCLUCKIE (Ind),459,30.5748,489.5748,9.6986,499.2734,49.5296,548.803,1.2437,550.0467,18.12588,568.17258,35.09173,603.26431,-603.26431,-,
Rachel KIDD (Grn),308,208.9278,516.9278,3.8493,520.7771,14.5479,535.325,1.48731,536.81231,49.94986,586.76217,57.89986,644.66203,95.74992,740.41195,
Austin REID (LD),139,22.648,161.648,,161.648,6.5662,168.2142,2.00426,170.21846,7.00891,177.22737,-177.22737,-,,-,
Ian KENNEDY (Ind),89,9.3423,98.3423,15.6986,114.0409,-114.0409,-,,-,,-,,-,,-,
Colin TODD (Alba),63,47.5608,110.5608,3.5662,114.127,4,118.127,0.26769,118.39469,-118.39469,-,,-,,-,
Mark Andrew TUNNICLIFF (Ind),49,6.2282,55.2282,-55.2282,-,,-,,-,,-,,-,,-,
Non-transferable, ,111.8387,111.8387,12.2831,124.1218,20.831,144.9528,2.62303,147.57583,35.7288,183.30463,58.69108,241.99571,359.9129,601.90861,
Totals,5499,,5499,,5499,,5499,,5499,,5499,,5499,,5499,
 ,,,,,,,,,,,,,,,,
,,,1323.36915,,1314.6614,,1302.0236,,1300.712085,,1282.847685,,1253.502145,,,
,,,-42.05385,,-55.894,,77.5672,,74.7600750000001,,49.3144350000002,,-5.57580500000017,,,
