Election for,Fife 2022 - Ward 1 - West Fife & Coastal Villages,,,,,,,,,,,,,,,,,,,
Date,26 Aug 2024,,,,,,,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,,,,,,,
Valid votes,5963,,,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,,,
Quota,1491,,,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,Stage,10,
 ,First,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Martin James KEATINGS (Ind),,William GAVIN (Alba),,Graeme James DOWNIE (Lab),,Danny SMITH (ScFam),,Craig MCCUTCHEON (Grn),,Jo COCKBURN (LD),,Jacqueline MCKENNA (Lab),,Sam STEELE (SNP),,Katie Margaret STRANG (SNP),,
Graeme James DOWNIE (Lab),1482,5,1487,5,1492,-1,1491,,1491,,1491,,1491,,1491,,1491,,1491,Elected
Sam STEELE (SNP),1301,6,1307,23,1330,0.02814,1330.02814,6,1336.02814,81.00067,1417.02881,31.00469,1448.0335,60.07504,1508.10854,-17.10854,1491,,1491,Elected
Conner YOUNG (C),1017,3,1020,,1020,0.04087,1020.04087,36.00067,1056.04154,6.00067,1062.04221,117.00603,1179.04824,107.1273,1286.17554,0.06804,1286.24358,139.20532,1425.4489,Elected
Katie Margaret STRANG (SNP),837,6,843,17,860,0.00804,860.00804,5.00067,865.00871,68.00067,933.00938,28.00067,961.01005,51.02613,1012.03618,15.88734,1027.92352,-1027.92352,-,
Jacqueline MCKENNA (Lab),458,,458,3,461,0.76581,461.76581,10.00268,471.76849,30.01005,501.77854,139.04422,640.82276,-640.82276,-,,-,,-,
Jo COCKBURN (LD),399,3,402,4,406,0.07035,406.07035,12.00067,418.07102,42.00201,460.07303,-460.07303,-,,-,,-,,-,
Craig MCCUTCHEON (Grn),246,5,251,13,264,0.02211,264.02211,9,273.02211,-273.02211,-,,-,,-,,-,,-,
Danny SMITH (ScFam),94,3,97,10,107,0.00737,107.00737,-107.00737,-,,-,,-,,-,,-,,-,
William GAVIN (Alba),83,9,92,-92,-,,-,,-,,-,,-,,-,,-,,-,
Martin James KEATINGS (Ind),46,-46,-,,-,,-,,-,,-,,-,,-,,-,,-,
Non-transferable,,6,6,17,23,0.05731,23.05731,29.00268,52.05999,46.00804,98.06803,145.01742,243.08545,422.59429,665.67974,1.15316,666.8329,888.7182,1555.5511,
Totals,5963,,5963,,5963,,5963,,5963,,5963,,5963,,5963,,5963,,5963,
