Election for,Fife 2022 - Ward 7 - Cowdenbeath,,,,,,,,,,,,,,,,,
Date,26 Aug 2024,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,
Valid votes,6632,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,
Quota,1327,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Alex CAMPBELL (Lab),,Alie BAIN (SNP),,Helen Foster GREIG (ScFam),,Darren WATT (C),,Jacqueline BIJSTER (Alba),,Peter James VENTURI (LD),,Alyssa LEE (Grn),,Gary GUICHAN (Lab),,
Alex CAMPBELL (Lab),2028,-701,1327,,1327,,1327,,1327,,1327,,1327,,1327,,1327,Elected
Alie BAIN (SNP),1916,,1916,-589,1327,,1327,,1327,,1327,,1327,,1327,,1327,Elected
Darren WATT (C),1256,53.92296,1309.92296,10.14453,1320.06749,26.03698,1346.10447,-19.10447,1327,,1327,,1327,,1327,,1327,Elected
Bailey-Lee ROBB (SNP),513,30.76374,543.76374,458.0409,1001.80464,7.84319,1009.64783,1.14594,1010.79377,36.71236,1047.50613,7.42097,1054.9271,107.70056,1162.62766,218.59605,1381.22371,Elected
Gary GUICHAN (Lab),489,503.28096,992.28096,28.28172,1020.56268,13.76147,1034.32415,6.3252,1040.64935,14.92884,1055.57819,38.88604,1094.46423,63.90468,1158.36891,-1158.36891,-,
Alyssa LEE (Grn),169,10.71546,179.71546,27.6669,207.38236,10.30614,217.6885,0.70508,218.39358,18.86228,237.25586,23.00655,260.26241,-260.26241,-,,-,
Peter James VENTURI (LD),96,10.71546,106.71546,1.84446,108.55992,4.65307,113.21299,3.36011,116.5731,3.69564,120.26874,-120.26874,-,,-,,-,
Jacqueline BIJSTER (Alba),85,7.25886,92.25886,17.82978,110.08864,5.61482,115.70346,0.31708,116.02054,-116.02054,-,,-,,-,,-,
Helen Foster GREIG (ScFam),80,10.02414,90.02414,6.76302,96.78716,-96.78716,-,,-,,-,,-,,-,,-,
Non-transferable, ,74.31842,74.31842,38.42869,112.74711,28.57149,141.3186,7.25106,148.56966,41.82142,190.39108,50.95518,241.34626,88.65717,330.00343,939.77286,1269.77629,
Totals,6632,,6632,,6632,,6632,,6632,,6632,,6632,,6632,,6632,
 ,,,,,,,,,,,,,,,,,,
