Election for,"Fife 2022 - Ward 8 - Lochgelly, Cardenden & Benarty",,,,,
Date,26 Aug 2024,,,,,
Number to be elected,4,,,,,
Valid votes,4947,,,,,
Invalid votes,0,,,,,
Quota,990,,,,,
OpenSTV,1.7,,,,,
Election rules,Scottish STV,,,,,
 ,,Stage,2,Stage,3,
 ,First,Surplus of,,Surplus of,,
Candidates,Preferences,Mary BAIN-LOCKHART (Lab),,Rosemary LIEWALD (SNP),,
Mary BAIN-LOCKHART (Lab),1230,-240,990,,990,Elected
Rosemary LIEWALD (SNP),1173,,1173,-183,990,Elected
Lea MCLELLAND (SNP),965,18.34128,983.34128,160.06626,1143.40754,Elected
Linda Wilson Martin ERSKINE (Lab),925,190.242,1115.242,,1115.242,Elected
Margaret FAIRGRIEVE (C),379,6.04872,385.04872,0.78005,385.82877,
Danny OSWALD (Grn),115,2.14632,117.14632,9.3606,126.50692,
Russel MCPHATE (LD),88,6.24384,94.24384,1.09207,95.33591,
Anil ALEXANDER (ScFam),72,1.9512,73.9512,1.24808,75.19928,
Non-transferable, ,15.02664,15.02664,10.45294,25.47958,
Totals,4947,,4947,,4947,
 ,,,,,,
