Election for,Fife 2022 - Ward 10 - Kirkcaldy North,,,,,,,,,,,,,,,
Date,26 Aug 2024,,,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,,,
Valid votes,5169,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1293,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,David ROSS (Lab),,Carol LINDSAY (SNP),,Gerald HADDRELL (UKIP),,Craig DEMPSEY (Alba),,Michael COLLIE (Grn),,Ryan SMART (Lab),,Sally WALSH (SNP),,
David ROSS (Lab),1804,-511,1293,,1293,,1293,,1293,,1293,,1293,,1293,Elected
Carol LINDSAY (SNP),1661,,1661,-368,1293,,1293,,1293,,1293,,1293,,1293,Elected
James LESLIE (C),789,23.50975,812.50975,1.3293,813.83905,15,828.83905,10,838.83905,16.22155,855.0606,174.8738,1029.9344,157.9453,1187.8797,Elected
Sally WALSH (SNP),352,8.21425,360.21425,309.7269,669.94115,3,672.94115,37.32325,710.2644,111.04105,821.30545,115.142,936.44745,-936.44745,-,
Ryan SMART (Lab),213,428.274,641.274,11.0775,652.3515,8.78805,661.13955,11.5048,672.64435,58.3469,730.99125,-730.99125,-,,-,
Michael COLLIE (Grn),204,8.4975,212.4975,14.40075,226.89825,4.28325,231.1815,22.8862,254.0677,-254.0677,-,,-,,-,
Craig DEMPSEY (Alba),101,0.84975,101.84975,6.86805,108.7178,3.28325,112.00105,-112.00105,-,,-,,-,,-,
Gerald HADDRELL (UKIP),45,1.133,46.133,0.4431,46.5761,-46.5761,-,,-,,-,,-,,-,
Non-transferable, ,40.52175,40.52175,24.1544,64.67615,12.22155,76.8977,30.2868,107.1845,68.4582,175.6427,440.97545,616.61815,778.50215,1395.1203,
Totals,5169,,5169,,5169,,5169,,5169,,5169,,5169,,5169,
 ,,,,,,,,,,,,,,,,
