Election for,Fife 2022 - Ward 11 - Kirkcaldy Central,,,,,,,,,,,,,
Date,26 Aug 2024,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,
Valid votes,4564,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1142,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Karen UTTING (LD),,Tao Jack Alexander Ruaridh MACLEOD (Grn),,Graham DUNCAN (C),,Alistair CAMERON (Lab),,Judy HAMILTON (Lab),,Zoe HISBENT (SNP),,
Blair ALLAN (SNP),1005,5,1010,37,1047,17,1064,5.26678,1069.26678,1.68482,1070.9516,729.36122,1800.31282,Elected
Alistair CAMERON (Lab),984,20,1004,26,1030,156,1186,-44,1142,,1142,,1142,Elected
Judy HAMILTON (Lab),915,23,938,39,977,181,1158,,1158,-16,1142,,1142,Elected
Zoe HISBENT (SNP),723,2,725,75,800,9,809,4.0799,813.0799,2.47199,815.55189,-815.55189,-,
Graham DUNCAN (C),619,23,642,10,652,-652,-,,-,,-,,-,
Tao Jack Alexander Ruaridh MACLEOD (Grn),203,21,224,-224,-,,-,,-,,-,,-,
Karen UTTING (LD),115,-115,-,,-,,-,,-,,-,,-,
Non-transferable,,21,21,37,58,289,347,34.65332,381.65332,11.84319,393.49651,86.19067,479.68718,
Totals,4564,,4564,,4564,,4564,,4564,,4564,,4564,
 ,,,,,,,,,,,,,,
