Election for,Fife 2022 - Ward 20 - Cupar,,,,,,,,,,,
Date,26 Aug 2024,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,6095,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1524,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Margaret Christine KENNEDY (LD),,Stefan HOGGAN-RADU (SNP),,Gordon Cairncross PAY (Ind),,Donald Marshall ADEY (Ind),,Sylvia Mary BROWN (ScFam),,
Margaret Christine KENNEDY (LD),2160,-636,1524,,1524,,1524,,1524,,1524,Elected
Stefan HOGGAN-RADU (SNP),1571,,1571,-47,1524,,1524,,1524,,1524,Elected
John Andrew CAFFREY (LD),1036,459.03196,1495.03196,6.75966,1501.79162,1.79655,1503.58817,10.20767,1513.79584,23.97305,1537.76889,Elected
Tony MIKLINSKI (C),698,68.01564,766.01564,0.44865,766.46429,3.61879,770.08308,4.32435,774.40743,16.35426,790.76169,
Robert Jonathan HUGH-JONES (Grn),296,31.21064,327.21064,24.2271,351.43774,9.70852,361.14626,10.76834,371.9146,5.50381,377.41841,
Wendy Helena HAYNES (Lab),206,28.85512,234.85512,3.91821,238.77333,3.61879,242.39212,3.41408,245.8062,4.97305,250.77925,
Sylvia Mary BROWN (ScFam),66,3.23884,69.23884,0.80757,70.04641,1.08973,71.13614,9.76834,80.90448,-80.90448,-,
Donald Marshall ADEY (Ind),33,4.12216,37.12216,0.5982,37.72036,13.2991,51.01946,-51.01946,-,,-,
Gordon Cairncross PAY (Ind),29,3.82772,32.82772,0.74775,33.57547,-33.57547,-,,-,,-,
Non-transferable, ,37.69792,37.69792,9.49286,47.19078,0.44399,47.63477,12.53668,60.17145,30.10031,90.27176,
Totals,6095,,6095,,6095,,6095,,6095,,6095,
 ,,,,,,,,,,,,
