Election for,Glasgow 2022 - Ward 1 - Linn,,,,,,,,,,,,,,,
Date,12 Jul 2024,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,
Valid votes,8994,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1798.8,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,ERS97 STV,,,,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
,First,Surplus of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,
Candidates,Preferences,Cunning,,Jones,,McCabe,,Warwick,,McCauley,,Toner,,Morgan,,
Malcolm CUNNING (Lab),2152,-353.2,1798.8,,1798.8,,1798.8,,1798.8,,1798.8,,1798.8,,1798.8,Elected
Paul MCCABE (SNP),1934,,1934,,1934,-135.2,1798.8,,1798.8,,1798.8,,1798.8,,1798.8,Elected
Margaret MORGAN (SNP),1070,15.11328,1085.11328,27.53976,1112.65304,116.62992,1229.28296,320.61192,1549.89488,101.60487,1651.49975,338,1989.49975,-190.69975,1798.8,Elected
Euan BLOCKLEY (C),1035,30.40648,1065.40648,10.53976,1075.94624,0.58904,1076.53528,6.17992,1082.7152,119.81261,1202.52781,55.61339,1258.1412,12,1270.1412,
James TONER,849,15.11328,864.11328,26.35984,890.47312,4.78595,895.25907,41.54807,936.80714,61.69291,998.50005,-998.50005,-,,-,
Catherine VALLIS (Lab),724,240.55304,964.55304,6.8996,971.45264,1.84075,973.29339,79.60671,1052.9001,192.08651,1244.98661,201.28868,1446.27529,86,1532.27529,Elected
Joe MCCAULEY (LD),572,37.7832,609.7832,8.8996,618.6828,4.27054,622.95334,71.30041,694.25375,-694.25375,-,,-,,-,
Keith WARWICK (Grn),544,8.996,552.996,18.53976,571.53576,7.06848,578.60424,-578.60424,-,,-,,-,,-,
Angela JONES (Alba),114,5.21768,119.21768,-119.21768,-,,-,,-,,-,,-,,-,
Non-transferable, ,0.01704,0.01704,20.43936,20.4564,0.01532,20.47172,59.35721,79.82893,219.05685,298.88578,403.59798,702.48376,92.69975,795.18351,
Totals,8994,,8994,,8994,,8994,,8994,,8994,,8994,,8994,
