Election for,Glasgow 2022 - Ward 5 - Govan,,,,,,,,,,,,,,,,,,,
Date,12 Jul 2024,,,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,,,
Valid votes,6456,,,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,,,
Quota,1292,,,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,Stage,10,
,First,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,William BONNAR (SSP),,Neil O'DOCHERTY (LD),,Imran ALAM (Lab),,John FLANAGAN (Ind),,Uche Gladys EMORDI (Alba),,Funmi FAJEMISEYE (SNP),,Ricky BELL (SNP),,Mamun RASHID (C),,Ruth S HALL (Lab),,
Imran ALAM (Lab),1272,9,1281,14,1295,-3,1292,,1292,,1292,,1292,,1292,,1292,,1292,Elected
Ricky BELL (SNP),1181,5,1186,4,1190,0.19635,1190.19635,10,1200.19635,25.00693,1225.20328,169.00462,1394.2079,-102.2079,1292,,1292,,1292,Elected
Dan HUTCHISON (Grn),975,36,1011,14,1025,0.1155,1025.1155,12.00231,1037.11781,20,1057.11781,79.00462,1136.12243,8.79696,1144.91939,42.00924,1186.92863,172.18038,1359.10901,Elected
Stephen DORNAN (SNP),794,9,803,5,808,0.12012,808.12012,16,824.12012,22,846.12012,227.00462,1073.12474,81.66132,1154.78606,33.16508,1187.95114,87.8724,1275.82354,Elected
Ruth S HALL (Lab),644,7,651,17,668,1.91037,669.91037,35.04158,704.95195,12.01386,716.96581,16.01155,732.97736,3.08244,736.0598,306.08332,1042.14312,-1042.14312,-,
Mamun RASHID (C),644,1,645,20,665,0.20097,665.20097,6.00924,671.21021,8,679.21021,5.00231,684.21252,0.51374,684.72626,-684.72626,-,,-,
Funmi FAJEMISEYE (SNP),498,4,502,1,503,0.02772,503.02772,7,510.02772,23.00231,533.03003,-533.03003,-,,-,,-,,-,
Uche Gladys EMORDI (Alba),132,11,143,4,147,0.0462,147.0462,9,156.0462,-156.0462,-,,-,,-,,-,,-,
John FLANAGAN (Ind),124,4,128,2,130,0.07623,130.07623,-130.07623,-,,-,,-,,-,,-,,-,
Neil O'DOCHERTY (LD),97,3,100,-100,-,,-,,-,,-,,-,,-,,-,,-,
William BONNAR (SSP),95,-95,-,,-,,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,6,6,19,25,0.30654,25.30654,35.0231,60.32964,46.0231,106.35274,37.00231,143.35505,8.15344,151.50849,303.46862,454.97711,782.09034,1237.06745,
Totals,6456,,6456,,6456,,6456,,6456,,6456,,6456,,6456,,6456,,6456,
