Election for,Glasgow 2022 - Ward 6 - Pollokshields,,,,,,,,,,,,,
Date,12 Jul 2024,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,
Valid votes,10362,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,2072.4,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,ERS97 STV,,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
,First,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,
Candidates,Preferences,Ruddell,,Molyneux,,Ford,,Shoaib,,2 candidates,,Raja,,
Jon MOLYNEUX (Grn),2290,,2290,-217.6,2072.4,,2072.4,,2072.4,,2072.4,,2072.4,Elected
Zen GHANI (SNP),1755,15,1770,80.28378,1850.28378,20.97334,1871.25712,81.41544,1952.67256,135,2087.67256,,2087.67256,Elected
Hanif M RAJA (Lab),1709,6,1715,24.82254,1739.82254,60.97334,1800.79588,70.20772,1871.0036,657,2528.0036,-455.6036,2072.4,Elected
Norman MACLEOD (SNP),1412,9,1421,44.6598,1465.6598,20.18106,1485.84086,36.10386,1521.94472,155.4457,1677.39042,110,1787.39042,Elected
David MEIKLE (C),1299,1,1300,2.38878,1302.38878,61.83088,1364.21966,8.20772,1372.42738,119.66176,1492.08914,129,1621.08914,
Fariha THOMAS (Lab),712,18,730,16.82532,746.82532,51.66176,798.48708,25,823.48708,-823.48708,-,,-,
Ewan HOYLE (VoltUK),421,8,429,34.58538,463.58538,50.5579,514.14328,17.41544,531.55872,-531.55872,-,,-,
Muhammad SHOAIB (Alba),367,7,374,1.45404,375.45404,,375.45404,-375.45404,-,,-,,-,
Carole Louise FORD (LD),309,2,311,12.56706,323.56706,-323.56706,-,,-,,-,,-,
Tom RUDDELL (TUSC),88,-88,-,,-,,-,,-,,-,,-,
Non-transferable, ,22,22,0.0133,22.0133,57.38878,79.40208,137.10386,216.50594,287.93834,504.44428,216.6036,721.04788,
Totals,10362,,10362,,10362,,10362,,10362,,10362,,10362,
