Election for,Glasgow 2022 - Ward 8 - Southside Central,,,,,,,,,,,,,,,
Date,12 Jul 2024,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,
Valid votes,7717,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1544,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Jamie DYER (Ind),,Sam GLASGOW-JACKSON (LD),,Paul Robert DONNELLY (SSP),,Tariq PARVEZ (C),,Kamran BUTT (Alba),,Alexander BELIC (SNP),,Mhairi HUNTER (SNP),,
Alexander BELIC (SNP),1460,2,1462,5,1467,18,1485,6,1491,124,1615,-71,1544,,1544,Elected
Elaine GALLAGHER (Grn),1395,10,1405,26,1431,73,1504,18,1522,22,1544,,1544,,1544,Elected
Soryia SIDDIQUE (Lab),1271,3,1274,14,1288,11,1299,42,1341,172,1513,4.74768,1517.74768,224.80272,1742.5504,Elected
Mhairi HUNTER (SNP),1185,3,1188,5,1193,8,1201,3,1204,33,1237,51.52112,1288.52112,-1288.52112,-,
James SCANLON (Lab),1161,3,1164,19,1183,13,1196,102,1298,40,1338,4.48392,1342.48392,251.3088,1593.79272,Elected
Kamran BUTT (Alba),623,1,624,4,628,10,638,26,664,-664,-,,-,,-,
Tariq PARVEZ (C),317,,317,12,329,1,330,-330,-,,-,,-,,-,
Paul Robert DONNELLY (SSP),154,6,160,1,161,-161,-,,-,,-,,-,,-,
Sam GLASGOW-JACKSON (LD),110,2,112,-112,-,,-,,-,,-,,-,,-,
Jamie DYER (Ind),41,-41,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,11,11,26,37,27,64,133,197,273,470,10.24728,480.24728,812.4096,1292.65688,
Totals,7717,,7717,,7717,,7717,,7717,,7717,,7717,,7717,
