Election for,Glasgow 2022 - Ward 9 - Calton,,,,,,,
Date,12 Jul 2024,,,,,,,
Number to be elected,4,,,,,,,
Valid votes,6072,,,,,,,
Invalid votes,0,,,,,,,
Quota,1214.4,,,,,,,
OpenSTV,1.7,,,,,,,
Election rules,ERS97 STV,,,,,,,
,,Stage,2,Stage,3,Stage,4,
,First,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Hepburn,,3 candidates,,Connelly,,
Greg HEPBURN (SNP),1472,-257.6,1214.4,,1214.4,,1214.4,Elected
George REDMOND (Lab),1039,6.26042,1045.26042,35.55239,1080.81281,166,1246.81281,Elected
Cecilia O'LONE (Lab),1037,19.70191,1056.70191,56.86673,1113.56864,228,1341.56864,Elected
Kate SAMUELS (Grn),772,15.09866,787.09866,80.05086,867.14952,48,915.14952,
Robert CONNELLY (C),634,2.02543,636.02543,23.18413,659.20956,-657,2.20956,
Linda PIKE (SNP),551,172.34568,723.34568,341.19732,1064.543,14,1078.543,Elected
Olu SHOKUNBI (SNP),368,30.93384,398.93384,-398.93384,-,,-,
Catherine MCKERNAN (Alba),120,9.39063,129.39063,-129.39063,-,,-,
Alexander PALMER (LD),79,1.8413,80.8413,-80.8413,-,,-,
Non-transferable, ,0.00213,0.00213,72.31434,72.31647,201,273.31647,
Totals,6072,,6072,,6072,,6072,
