Election for,Glasgow 2022 - Ward 11 - Hillhead,,,
Date,12 Jul 2024,,,
Number to be elected,3,,,
Valid votes,6925,,,
Invalid votes,0,,,
Quota,1731.25,,,
OpenSTV,1.7,,,
Election rules,ERS97 STV,,,
,,Stage,2,
,First,Surplus of,,
Candidates,Preferences,Wardrop,,
Martha WARDROP (Grn),2507,-775.75,1731.25,Elected
Ken ANDREW (SNP),1984,,1984,Elected
Hanzala MALIK (Lab),1532,515.90322,2047.90322,Elected
Mark RUSSELL (C),464,17.51652,481.51652,
Theo LOCKETT (LD),377,229.383,606.383,
Colin MCMILLAN (FdmAll),61,12.92886,73.92886,
Non-transferable, ,0.0184,0.0184,
Totals,6925,,6925,
