Election for,Glasgow 2022 - Ward 11 - Hillhead,,,
Date,12 Jul 2024,,,
Number to be elected,3,,,
Valid votes,6925,,,
Invalid votes,0,,,
Quota,1732,,,
OpenSTV,1.7,,,
Election rules,Scottish STV,,,
,,Stage,2,
,First,Surplus of,,
Candidates,Preferences,Martha WARDROP (Grn),,
Martha WARDROP (Grn),2507,-775,1732,Elected
Ken ANDREW (SNP),1984,,1984,Elected
Hanzala MALIK (Lab),1532,382.39381,1914.39381,Elected
Mark RUSSELL (C),464,12.98346,476.98346,
Theo LOCKETT (LD),377,170.0215,547.0215,
Colin MCMILLAN (FdmAll),61,9.58303,70.58303,
Non-transferable, ,200.0182,200.0182,
Totals,6925,,6925,
