Election for,Glasgow 2022 - Ward 13 - Garscadden/Scotstounhill,,,,,,,,,,,
Date,12 Jul 2024,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,
Valid votes,8629,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1725.8,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,ERS97 STV,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Butler,,Cunningham,,Waterfield,,Ugbah,,Hamelink,,
Bill BUTLER (Lab),2403,-677.2,1725.8,,1725.8,,1725.8,,1725.8,,1725.8,Elected
Chris CUNNINGHAM (SNP),2310,,2310,-584.2,1725.8,,1725.8,,1725.8,,1725.8,Elected
Eva Clark MURRAY (Lab),940,546.51486,1486.51486,14.91112,1501.42598,60.56498,1561.99096,36.15448,1598.14544,226,1824.14544,Elected
Steven MORRISON (C),886,50.66616,936.66616,3.46151,940.12767,30.73779,970.86546,2.26627,973.13173,29,1002.13173,
Rosemary UGBAH (SNP),745,6.1788,751.1788,74.28933,825.46813,8.26627,833.7344,-833.7344,-,,-,
John HAMELINK (Grn),712,38.30856,750.30856,57.78059,808.08915,43.50203,851.59118,94.64865,946.23983,-840,106.23983,
Malcolm MITCHELL (SNP),460,21.31686,481.31686,430.55859,911.87545,10.10775,921.9832,659.21159,1581.19479,393,1974.19479,Elected
Hugh Grenville WATERFIELD (LD),173,14.21124,187.21124,3.19524,190.40648,-190.40648,-,,-,,-,
Non-transferable, ,0.00352,0.00352,0.00362,0.00714,37.22766,37.2348,41.45341,78.68821,192,270.68821,
Totals,8629,,8629,,8629,,8629,,8629,,8629,
