Election for,Glasgow 2022 - Ward 13 - Garscadden/Scotstounhill,,,,,,,,,,,
Date,12 Jul 2024,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,
Valid votes,8629,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1726,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Bill BUTLER (Lab),,Chris CUNNINGHAM (SNP),,Hugh Grenville WATERFIELD (LD),,Rosemary UGBAH (SNP),,John HAMELINK (Grn),,
Bill BUTLER (Lab),2403,-677,1726,,1726,,1726,,1726,,1726,Elected
Chris CUNNINGHAM (SNP),2310,,2310,-584,1726,,1726,,1726,,1726,Elected
Eva Clark MURRAY (Lab),940,498.38037,1438.38037,14.15736,1452.53773,59.8306,1512.36833,35.82854,1548.19687,246.7174,1794.91427,Elected
Steven MORRISON (C),886,46.20372,932.20372,3.28653,935.49025,30.50665,965.9969,2.25281,968.24971,33.11027,1001.35998,
Rosemary UGBAH (SNP),745,5.6346,750.6346,70.53399,821.16859,8.25281,829.4214,-829.4214,-,,-,
John HAMELINK (Grn),712,34.93452,746.93452,54.85977,801.79429,43.37973,845.17402,94.17668,939.3507,-939.3507,-,
Malcolm MITCHELL (SNP),460,19.43937,479.43937,408.79377,888.23314,10.04016,898.2733,656.02041,1554.29371,438.35469,1992.6484,Elected
Hugh Grenville WATERFIELD (LD),173,12.95958,185.95958,3.03372,188.9933,-188.9933,-,,-,,-,
Non-transferable, ,59.44784,59.44784,29.33486,88.7827,36.98335,125.76605,41.14296,166.90901,221.16834,388.07735,
Totals,8629,,8629,,8629,,8629,,8629,,8629,
