Election for,Glasgow 2022 - Ward 14 - Drumchapel/Anniesland,,,,,,,,,,,,,
Date,12 Jul 2024,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,
Valid votes,7226,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1446,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Paul CAREY (Lab),,Joe MEEHAN (SSP),,Richard Frank STALLEY (LD),,Cylina PORCH (SNP),,Elspeth KERR (Ind),,Duncan WEBFORD (Grn),,
Paul CAREY (Lab),2011,-565,1446,,1446,,1446,,1446,,1446,,1446,Elected
Anne MCTAGGART (SNP),1446,,1446,,1446,,1446,,1446,,1446,,1446,Elected
Fyeza IKHLAQ (SNP),945,14.0475,959.0475,10.28095,969.32845,2,971.32845,307.09045,1278.4189,87.8095,1366.2284,259.84285,1626.07125,Elected
Patricia FERGUSON (Lab),747,444.4629,1191.4629,17.1238,1208.5867,31.5619,1240.1486,11.84285,1251.99145,116.4856,1368.47705,126.9333,1495.41035,Elected
Pauline SUTHERLAND (C),689,11.7999,700.7999,0.28095,701.08085,23.40475,724.4856,2.5619,727.0475,44.1238,771.1713,21,792.1713,
Duncan WEBFORD (Grn),438,6.46185,444.46185,30.5619,475.02375,22.5619,497.58565,25.84285,523.4285,86.3714,609.7999,-609.7999,-,
Elspeth KERR (Ind),376,32.87115,408.87115,25.5619,434.43305,19.28095,453.714,9.84285,463.55685,-463.55685,-,,-,
Cylina PORCH (SNP),350,8.4285,358.4285,10.5619,368.9904,4.28095,373.27135,-373.27135,-,,-,,-,
Richard Frank STALLEY (LD),118,4.21425,122.21425,4.84285,127.0571,-127.0571,-,,-,,-,,-,
Joe MEEHAN (SSP),106,5.89995,111.89995,-111.89995,-,,-,,-,,-,,-,
Non-transferable, ,36.814,36.814,12.6857,49.4997,23.96665,73.46635,16.09045,89.5568,128.76655,218.32335,202.02375,420.3471,
Totals,7226,,7226,,7226,,7226,,7226,,7226,,7226,
