Election for,Glasgow 2022 - Ward 18 - East Centre,,,,,,,,,,,,,,,,,,,,,
Date,12 Jul 2024,,,,,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,,,,,
Valid votes,6957,,,,,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,,,,,
Quota,1392,,,,,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,Stage,10,Stage,11,
,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Ann JENKINS (Lab),,Matt DOBSON (TUSC),,Tony OSY (Alba),,Ruth LINDSAY (LD),,Hannah SMITH (Grn),,Declan BLENCH (SNP),,William MCLACHLAN (Ind),,Kilian RILEY (SNP),,Annette CHRISTIE (SNP),,Faten HAMEED (C),,
Ann JENKINS (Lab),1954,-562,1392,,1392,,1392,,1392,,1392,,1392,,1392,,1392,,1392,,1392,Elected
Declan BLENCH (SNP),1348,15.81855,1363.81855,1,1364.81855,11.28761,1376.10616,4,1380.10616,51.86283,1431.96899,-39.96899,1392,,1392,,1392,,1392,,1392,Elected
Annette CHRISTIE (SNP),1014,9.77874,1023.77874,1,1024.77874,11.28761,1036.06635,3.57522,1039.64157,61,1100.64157,32.46831,1133.10988,41.34343,1174.45331,578.58288,1753.03619,-361.03619,1392,,1392,Elected
Faten HAMEED (C),688,22.43358,710.43358,6.28761,716.72119,8,724.72119,21.30088,746.02207,3.28761,749.30968,0.16746,749.47714,56.43805,805.91519,5,810.91519,8.28772,819.20291,-819.20291,-,
Kieran J TURNER (Lab),642,404.09205,1046.09205,18.30088,1064.39293,9.28761,1073.68054,28.49113,1102.17167,46.76547,1148.93714,0.58258,1149.51972,88.54835,1238.06807,20.90114,1258.96921,68.67306,1327.64227,391.80104,1719.44331,Elected
Kilian RILEY (SNP),568,4.60176,572.60176,,572.60176,13,585.60176,2,587.60176,47,634.60176,4.39406,638.99582,16.71477,655.71059,-655.71059,-,,-,,-,
William MCLACHLAN (Ind),249,15.81855,264.81855,6.57522,271.39377,15,286.39377,12.30088,298.69465,19.57522,318.26987,0.35096,318.62083,-318.62083,-,,-,,-,,-,
Hannah SMITH (Grn),240,9.49113,249.49113,16.57522,266.06635,15,281.06635,12.30088,293.36723,-293.36723,-,,-,,-,,-,,-,,-,
Tony OSY (Alba),101,1.15044,102.15044,4,106.15044,-106.15044,-,,-,,-,,-,,-,,-,,-,,-,
Ruth LINDSAY (LD),90,18.98226,108.98226,3.86283,112.84509,4,116.84509,-116.84509,-,,-,,-,,-,,-,,-,,-,
Matt DOBSON (TUSC),63,5.17698,68.17698,-68.17698,-,,-,,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,54.65596,54.65596,10.57522,65.23118,19.28761,84.51879,32.8761,117.39489,63.8761,181.27099,2.00562,183.27661,115.57623,298.85284,51.22657,350.07941,284.07541,634.15482,427.40187,1061.55669,
Totals,6957,,6957,,6957,,6957,,6957,,6957,,6957,,6957,,6957,,6957,,6957,
