Election for,Glasgow 2022 - Ward 22 - Dennistoun,,,,,
Date,12 Jul 2024,,,,,
Number to be elected,3,,,,,
Valid votes,5464,,,,,
Invalid votes,0,,,,,
Quota,1367,,,,,
OpenSTV,1.7,,,,,
Election rules,Scottish STV,,,,,
,,Stage,2,Stage,3,
,First,Surplus of,,Surplus of,,
Candidates,Preferences,Elaine MCDOUGALL (Lab),,Anthony CARROLL (Grn),,
Elaine MCDOUGALL (Lab),1595,-228,1367,,1367,Elected
Anthony CARROLL (Grn),1431,,1431,-64,1367,Elected
Allan CASEY (SNP),1337,24.72862,1361.72862,26.11648,1387.8451,Elected
Lorna FINN (SNP),582,26.72978,608.72978,17.6644,626.39418,
Fiona McNider CONNELLY (C),339,30.58916,369.58916,0.71552,370.30468,
Fergus MCCANN (LD),96,46.74138,142.74138,4.87448,147.61586,
Oisín DUNCAN (TUSC),84,24.72862,108.72862,7.91544,116.64406,
Non-transferable, ,74.48244,74.48244,6.71368,81.19612,
Totals,5464,,5464,,5464,
