Election for,Glasgow 2022 - Ward 23 - Partick East/Kelvindale,,,,,,,,,
Date,12 Jul 2024,,,,,,,,,
Number to be elected,4,,,,,,,,,
Valid votes,10231,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,2046.2,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,ERS97 STV,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,
,First,Surplus of,,Exclusion of,,Exclusion of,,Surplus of,,
Candidates,Preferences,Brown,,3 candidates,,Wilson,,McLean,,
Jill BROWN (Lab),2939,-892.8,2046.2,,2046.2,,2046.2,,2046.2,Elected
Blair ANDERSON (Grn),2138,,2138,,2138,,2138,,2138,Elected
Kenny MCLEAN (SNP),1800,28.47663,1828.47663,54.81637,1883.293,1069,2952.293,-906.093,2046.2,Elected
Naveed ASGHAR (C),1364,37.23867,1401.23867,113.31981,1514.55848,4.31293,1518.87141,10,1528.87141,
Linsey WILSON (SNP),1101,11.57841,1112.57841,41.50344,1154.08185,-1154.08185,-,,-,
Nicholas MOOHAN (LD),388,36.92574,424.92574,-424.92574,-,,-,,-,
Lilith JOHNSTONE (Lab),358,775.44054,1133.44054,191.71459,1325.15513,32.19739,1357.35252,357,1714.35252,Elected
Udochukwu Kings NWAOKOROBIA (Alba),81,0.93879,81.93879,-81.93879,-,,-,,-,
Di MCMILLAN (FdmAll),62,2.19051,64.19051,-64.19051,-,,-,,-,
Non-transferable, ,0.01071,0.01071,169.70083,169.71154,48.57153,218.28307,539.093,757.37607,
Totals,10231,,10231,,10231,,10231,,10231,
