Election for,Glasgow 2022 - Ward 23 - Partick East/Kelvindale,,,,,,,,,,,,,,,,,
Date,12 Jul 2024,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,
Valid votes,10231,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,
Quota,2047,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,
,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Jill BROWN (Lab),,Blair ANDERSON (Grn),,Di MCMILLAN (FdmAll),,Udochukwu Kings NWAOKOROBIA (Alba),,Nicholas MOOHAN (LD),,Linsey WILSON (SNP),,Kenny MCLEAN (SNP),,Naveed ASGHAR (C),,
Jill BROWN (Lab),2939,-892,2047,,2047,,2047,,2047,,2047,,2047,,2047,,2047,Elected
Blair ANDERSON (Grn),2138,,2138,-91,2047,,2047,,2047,,2047,,2047,,2047,,2047,Elected
Kenny MCLEAN (SNP),1800,27.6185,1827.6185,26.3872,1854.0057,1.3035,1855.3092,18.77724,1874.08644,35.62964,1909.71608,1094.06434,3003.78042,-956.78042,2047,,2047,Elected
Naveed ASGHAR (C),1364,36.1165,1400.1165,1.14912,1401.26562,22.3035,1423.56912,5,1428.56912,86.19648,1514.7656,4.3035,1519.0691,16.24129,1535.31039,-1535.31039,-,
Linsey WILSON (SNP),1101,11.2295,1112.2295,27.06816,1139.29766,0.43118,1139.72884,22.2128,1161.94164,19.9757,1181.91734,-1181.91734,-,,-,,-,
Nicholas MOOHAN (LD),388,35.813,423.813,7.2352,431.0482,8.69212,439.74032,11,450.74032,-450.74032,-,,-,,-,,-,
Lilith JOHNSTONE (Lab),358,752.073,1110.073,19.53504,1129.60804,11.34606,1140.9541,12.08512,1153.03922,170.45572,1323.49494,31.47328,1354.96822,299.07473,1654.04295,724.02806,2378.07101,Elected
Udochukwu Kings NWAOKOROBIA (Alba),81,0.9105,81.9105,0.55328,82.46378,4.04256,86.50634,-86.50634,-,,-,,-,,-,,-,
Di MCMILLAN (FdmAll),62,2.1245,64.1245,0.4256,64.5501,-64.5501,-,,-,,-,,-,,-,,-,
Non-transferable, ,26.1145,26.1145,8.6464,34.7609,16.43118,51.19208,17.43118,68.62326,138.48278,207.10604,52.07622,259.18226,641.4644,900.64666,811.28233,1711.92899,
Totals,10231,,10231,,10231,,10231,,10231,,10231,,10231,,10231,,10231,
