"Election for","Highland 2022 - Ward 6 - Cromarty Firth"
"Date","01 Aug 2024"
"Number to be elected",4
"Valid votes",3870
"Invalid votes",0
"Quota",775.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
 ,"First","Surplus of",,"Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
 "Candidates","Preferences","Tamala COLLIER (SNP)",,"Molly NOLAN (LD)",,"Pauline MUNRO (Ind)",,"Eric FRASER (Ind)",,"Kate STEVENSON (Ind)",,"Daniel REAT (Grn)",,"Kirsty STEWART (Lab)",,"Andrew Phillip BAXTER (C)",
 "Andrew Phillip BAXTER (C)",261,+4.99728,265.99728,+49.02276,315.02004,+0.76996,315.79000,+6.34017,322.13017,+24.12196,346.25213,+4.14759,350.39972,+47.01372,397.41344,-397.41344,"-",
 "Tamala COLLIER (SNP)",1127,-352.00000,775.00000,,775.00000,,775.00000,,775.00000,,775.00000,,775.00000,,775.00000,,775.00000,"Elected"
 "Eric FRASER (Ind)",45,+9.68223,54.68223,+9.29742,63.97965,+1.75511,65.73476,-65.73476,"-",,"-",,"-",,"-",,"-",
 "Maxine MORLEY-SMITH (Ind)",283,+39.97824,322.97824,+32.96358,355.94182,+14.86794,370.80976,+12.41040,383.22016,+63.40671,446.62687,+52.31654,498.94341,+76.66935,575.61276,+129.36085,704.97361,"Elected"
 "Pauline MUNRO (Ind)",679,+70.27425,749.27425,+55.22104,804.49529,-29.49529,775.00000,,775.00000,,775.00000,,775.00000,,775.00000,,775.00000,"Elected"
 "Molly NOLAN (LD)",1079,,1079.00000,-304.00000,775.00000,,775.00000,,775.00000,,775.00000,,775.00000,,775.00000,,775.00000,"Elected"
 "Daniel REAT (Grn)",112,+111.50181,223.50181,+19.72180,243.22361,+1.20049,244.42410,+2.90295,247.32705,+13.38794,260.71499,-260.71499,"-",,"-",,"-",
 "Kate STEVENSON (Ind)",122,+13.74252,135.74252,+38.59838,174.34090,+4.58850,178.92940,+13.08491,192.01431,-192.01431,"-",,"-",,"-",,"-",
 "Kirsty STEWART (Lab)",162,+32.16999,194.16999,+43.95144,238.12143,+1.42296,239.54439,+9.77408,249.31847,+18.58723,267.90570,+75.64715,343.55285,-343.55285,"-",,"-",
 "Non-transferable", ,+69.65368,69.65368,+55.22358,124.87726,+4.89033,129.76759,+21.22225,150.98984,+72.51047,223.50031,+128.60371,352.10402,+219.86978,571.97380,+268.05259,840.02639,
 "Totals",3870,,3870.00000,,3870.00000,,3870.00000,,3870.00000,,3870.00000,,3870.00000,,3870.00000,,3870.00000
 
