"Election for","Highland 2022 - Ward 10 - Eilean a' Cheò"
"Date","01 Aug 2024"
"Number to be elected",4
"Valid votes",4515
"Invalid votes",0
"Quota",904.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
 ,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
 "Candidates","Preferences","John FINLAYSON (Ind)",,"Drew MILLAR (SNP)",,"Peter Ó DONNGHAILE (Lab)",,"Hector MACLEOD (Alba)",,"Calum MUNRO (Ind)",,"Jack CLARK (LD)",,"Donald MACDONALD (Ind)",,"Fay THOMSON (Ind)",
 "Jack CLARK (LD)",157,+31.25365,188.25365,+8.46375,196.71740,+61.28620,258.00360,+13.91405,271.91765,+1.30719,273.22484,-273.22484,"-",,"-",,"-",
 "John FINLAYSON (Ind)",1450,-546.00000,904.00000,,904.00000,,904.00000,,904.00000,,904.00000,,904.00000,,904.00000,,904.00000,"Elected"
 "Donald MACDONALD (Ind)",240,+79.45205,319.45205,+9.93080,329.38285,+12.84475,342.22760,+26.83365,369.06125,+7.11114,376.17239,+52.90150,429.07389,-429.07389,"-",,"-",
 "Hector MACLEOD (Alba)",166,+19.58060,185.58060,+23.24710,208.82770,+2.91960,211.74730,-211.74730,"-",,"-",,"-",,"-",,"-",
 "Drew MILLAR (SNP)",1019,,1019.00000,-115.00000,904.00000,,904.00000,,904.00000,,904.00000,,904.00000,,904.00000,,904.00000,"Elected"
 "Calum MUNRO (Ind)",583,+208.98525,791.98525,+21.66720,813.65245,+25.14090,838.79335,+89.47520,928.26855,-24.26855,904.00000,,904.00000,,904.00000,,904.00000,"Elected"
 "Peter Ó DONNGHAILE (Lab)",157,+23.34610,180.34610,+8.68945,189.03555,-189.03555,"-",,"-",,"-",,"-",,"-",,"-",
 "Ruraidh STEWART (C)",485,+36.14880,521.14880,+1.24135,522.39015,+12.75310,535.14325,+3.11285,538.25610,+1.39534,539.65144,+55.45751,595.10895,+59.63903,654.74798,+151.92526,806.67324,"Elected"
 "Fay THOMSON (Ind)",258,+81.71135,339.71135,+9.14085,348.85220,+23.23255,372.08475,+36.94535,409.03010,+7.78131,416.81141,+47.24485,464.05626,+168.17159,632.22785,-632.22785,"-",
 "Non-transferable", ,+65.52220,65.52220,+32.61950,98.14170,+50.85845,149.00015,+41.46620,190.46635,+6.67357,197.13992,+117.62098,314.76090,+201.26327,516.02417,+480.30259,996.32676,
 "Totals",4515,,4515.00000,,4515.00000,,4515.00000,,4515.00000,,4515.00000,,4515.00000,,4515.00000,,4515.00000
 
