"Election for","Highland 2022 - Ward 12 - Aird and Loch Ness"
"Date","01 Aug 2024"
"Number to be elected",4
"Valid votes",5198
"Invalid votes",0
"Quota",1040.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
 ,"First","Surplus of",,"Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
 "Candidates","Preferences","Emma KNOX (SNP)",,"David FRASER (Ind)",,"Helen CRAWFORD (C)",,"Michael PERERA (Lab)",,"Holly KINGHAM (LD)",,"Aarron DUNCAN-MACLEOD (Ind)",
 "Chris BALLANCE (Grn)",528,+178.14750,706.14750,+21.74353,727.89103,+2.09352,729.98455,+52.98260,782.96715,+141.48761,924.45476,+240.57338,1165.02814,"Elected"
 "Helen CRAWFORD (C)",1099,,1099.00000,,1099.00000,-59.00000,1040.00000,,1040.00000,,1040.00000,,1040.00000,"Elected"
 "Aarron DUNCAN-MACLEOD (Ind)",430,+41.80528,471.80528,+63.30851,535.11379,+20.98888,556.10267,+40.09059,596.19326,+177.92812,774.12138,-774.12138,"-",
 "David FRASER (Ind)",1182,,1182.00000,-142.00000,1040.00000,,1040.00000,,1040.00000,,1040.00000,,1040.00000,"Elected"
 "Holly KINGHAM (LD)",342,+27.31595,369.31595,+16.21755,385.53350,+12.72216,398.25566,+124.83947,523.09513,-523.09513,"-",,"-",
 "Emma KNOX (SNP)",1364,-324.00000,1040.00000,,1040.00000,,1040.00000,,1040.00000,,1040.00000,,1040.00000,"Elected"
 "Michael PERERA (Lab)",253,+23.51547,276.51547,+10.33118,286.84665,+5.04592,291.89257,-291.89257,"-",,"-",,"-",
 "Non-transferable", ,+53.21580,53.21580,+30.39923,83.61503,+18.14952,101.76455,+73.97991,175.74446,+203.67940,379.42386,+533.54800,912.97186,
 "Totals",5198,,5198.00000,,5198.00000,,5198.00000,,5198.00000,,5198.00000,,5198.00000
 
